,gitmerge_ort,gitmerge_ort_ignorespace,git_hires_merge,spork,mergiraf,intellimerge,adjacent,imports,version_numbers,ivn,ivn_ignorespace
gitmerge_ort,-,0,0,0,0,0,0,0,0,0,0
gitmerge_ort_ignorespace,2,-,2,2,2,0,1,2,2,2,0
git_hires_merge,1,1,-,1,1,1,0,1,1,1,1
spork,3,3,2,-,2,1,2,3,3,2,2
mergiraf,1,1,1,0,-,0,1,1,1,1,1
intellimerge,13,11,11,7,9,-,9,11,13,11,9
adjacent,2,1,1,2,2,1,-,2,2,2,1
imports,0,0,0,0,0,0,0,-,0,0,0
version_numbers,0,0,0,0,0,0,0,0,-,0,0
ivn,0,0,0,0,0,0,0,0,0,-,0
ivn_ignorespace,2,0,2,2,2,0,1,2,2,2,-
