idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,Validation hash
2460,datasift/dropwizard-extra,Java,1.0,1,0,0.387749,13.741935,1.032258,1,6409,0.387701,96,1,1,1,1,b65d69ef8966c5cb39e8ae17abc8509bd5710010
250,Xyene/ASM-Late-Bind-Agent,Java,1.0,1,0,0.213018,0.0,0.0,0,416,0.416382,12,0,0,1,0,312d49077df4193b72e8c703e14fd1be427b731e
413,sanity/quickml,Java,0.964912,3,1,0.077219,24.547619,1.666667,1,8880,0.253663,174,1,1,1,1,3795d6d759ff8845ec5fab26bc49197ba597420e
545,githublemming/CloudTrailViewer,Java,0.973333,1,0,0.316459,8.333333,0.0,1,5860,0.28923,16,1,0,1,1,11aed9194162cd8cdc6a204c7f9d24caf352280d
1193,newrelic-platform/metrics_publish_java,Java,0.862069,2,0,0.243298,7.714286,2.357143,1,2578,0.434883,14,1,1,1,1,76efb0d7a2919896c6c73f2d1336d6ef4a5ea555
738,jOOQ/jOOL,Java,0.925532,1,1,0.41595,14.5,7.166667,1,6612,0.409237,465,1,1,1,1,1c943c5aebef301e1169e4315d6c0a7cc317af4c
310,caskdata/netty-http,Java,0.977273,4,1,0.332888,12.428571,1.571429,1,4155,0.356867,13,1,1,1,1,92bdf02ed4c8887dd075bf48a3fc25f22f8c3e65
893,benjiman/expressions,Java,1.0,1,0,0.000281,4.538462,0.076923,1,3575,0.427399,20,0,1,1,1,7ed6748aca423f4688b84167828a89ca805c3793
1131,gaillard/mongo-queue-java,Java,1.0,1,1,0.175393,0.0,0.0,0,685,0.647458,14,0,0,1,0,72cf50c6f1e5c31258eea0aa16f54883a306bf32
2745,ops4j/org.ops4j.pax.web,Java,0.955774,3,1,0.198047,25.735849,0.509434,1,53531,0.276491,81,1,1,1,1,f3350d3bc942109505d17497a8a23900f3abe7c3
15,PeerWasp/PeerWasp,Java,0.97191,2,0,0.177636,0.0,0.0,1,24201,0.352119,20,1,0,1,1,92ec5b3d0eee66599d7c2a350a986205bf9a0be6
1750,mmay/PigJsonLoader,Java,0.5,1,0,0.2397,0.0,0.0,1,220,0.384236,15,0,0,1,1,83c4ba806f6105eb443221660186b00a3f90ae99
721,josephw/titl,Java,1.0,1,0,0.217257,1.083333,0.0,1,4317,0.340471,17,0,0,1,1,e7060370973d624d5c7b18f82303407b76421501
1420,undera/perfmon-agent,Java,0.989691,2,1,0.161371,3.857143,0.285714,1,5385,0.401091,13,1,1,1,1,3426343b1af97fd8a2bf6695f086e56894f311f4
2487,JakeWharton/DiskLruCache,Java,1.0,2,1,0.180274,4.4,2.028571,1,2086,0.551724,2331,1,1,1,1,3e016356cfc7e5f9644a7a732fe0223e9742e024
981,futuresimple/android-schema-utils,Java,0.727273,1,0,0.115472,6.0,0.1875,1,2284,0.344788,35,1,1,1,1,d02af7f4f885ac561423133937f205437a194286
2298,kevinsawicki/etag-cache,Java,1.0,1,1,0.241582,5.090909,0.363636,1,930,0.45037,25,1,1,1,1,6a43063938f708c51c571842eaa922968c32723b
2390,lastfm/musicbrainz-data,Java,0.982456,1,0,0.257672,5.3125,0.5,1,2863,0.413583,94,1,1,1,1,45d55e63f0892804ae1dd94c9d9b4fc241441968
2286,pentaho/modeler,Java,0.943396,9,0,0.189292,12.111111,2.777778,1,22812,0.253284,28,1,1,1,1,948756678195b67cbf5a78d0acb1bf5d1ab9d2fd
