idx,branch_name,merge,left,right,notes,diff contains java file,diff_logs,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint,plumelib_ort,plumelib_ort_merge_fingerprint,plumelib_ort_ignorespace,plumelib_ort_ignorespace_merge_fingerprint,plumelib_ort_adjacent,plumelib_ort_adjacent_merge_fingerprint,plumelib_ort_imports,plumelib_ort_imports_merge_fingerprint,plumelib_ort_version_number,plumelib_ort_version_number_merge_fingerprint
8,refs/heads/main,30d3049359fc8a4cbd2932bebc3b238a7338b8ca,f63c0c1b2ce21951697b1a9b47f214f4e1a8b5ff,a2d13c4a3f88f58e95ac894e113c2192263df150,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f63c0c1b2ce21951697b1a9b47f214f4e1a8b5ff_a2d13c4a3f88f58e95ac894e113c2192263df150_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f63c0c1b2ce21951697b1a9b47f214f4e1a8b5ff_a2d13c4a3f88f58e95ac894e113c2192263df150_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f63c0c1b2ce21951697b1a9b47f214f4e1a8b5ff_a2d13c4a3f88f58e95ac894e113c2192263df150_left_right.log'}",True,True,40,1053,True,Tests_passed,695a224e70dd817606cbcf6526082028c94a3ab69bfb8344060bc2909ad10371,True,Tests_passed,b94fe176594da209508a183b461c4dfde742ee12ed8e3c78554353db8c07ef2c,True,Merge_failed,60447df3be2df116f0f9c3d1d65820f4cb8b943d1f700702c4286be8083983e2,Merge_failed,60447df3be2df116f0f9c3d1d65820f4cb8b943d1f700702c4286be8083983e2,Merge_failed,60447df3be2df116f0f9c3d1d65820f4cb8b943d1f700702c4286be8083983e2,Merge_failed,60447df3be2df116f0f9c3d1d65820f4cb8b943d1f700702c4286be8083983e2,Merge_failed,60447df3be2df116f0f9c3d1d65820f4cb8b943d1f700702c4286be8083983e2,Merge_failed,60447df3be2df116f0f9c3d1d65820f4cb8b943d1f700702c4286be8083983e2,Merge_failed,60447df3be2df116f0f9c3d1d65820f4cb8b943d1f700702c4286be8083983e2,Merge_failed,07eeac458a748637f0ca5e62b80c3586a4f728768da3b62a42b48d307dc18926,Merge_failed,ebd2fc878276d825514210b5bfbb41b0ef1ca09ca4e506b3ae706edc1c1c2d70,Tests_passed,48e8424a7645fc2c250a17f5fd3d106687bbeba5804b5927722baffb210b8c5b,Tests_failed,9c12411d7d2811c55e814524d10504430f4d6ffc78f618f9667804300eae38eb,Merge_failed,005000bd27d59a7ded72a5644357e9683e4bb157e64e58d0669b6860986f5ffe,Merge_failed,005000bd27d59a7ded72a5644357e9683e4bb157e64e58d0669b6860986f5ffe,Merge_failed,14215d858570b4e47b5f68e4fa4b435cbdc717cb9aeb1d125481ee13cbc64771,Merge_failed,005000bd27d59a7ded72a5644357e9683e4bb157e64e58d0669b6860986f5ffe,Merge_failed,14215d858570b4e47b5f68e4fa4b435cbdc717cb9aeb1d125481ee13cbc64771
12,refs/heads/main,6e98947d7295414f753f05fd251878ba7277bdb1,f863672644cba48fcc3f6eeec3d3011436087754,0bd42599f5aab6ed0a0b4f3e86a4ae3a48554d00,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f863672644cba48fcc3f6eeec3d3011436087754_0bd42599f5aab6ed0a0b4f3e86a4ae3a48554d00_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f863672644cba48fcc3f6eeec3d3011436087754_0bd42599f5aab6ed0a0b4f3e86a4ae3a48554d00_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f863672644cba48fcc3f6eeec3d3011436087754_0bd42599f5aab6ed0a0b4f3e86a4ae3a48554d00_left_right.log'}",True,True,739,39820,True,Tests_passed,143cb1ba4ea0a27cbd6b525a3b76d1928a1b26c90782584bea350634d06c844a,True,Tests_passed,89c631f43249551601e9a602219ce75012988ce134605bc7ef4efed53a4df6dc,True,Merge_failed,dfcd75ec41e9ebd628704f312f0c55133064890c0bdc1f55b6a2d2aa738f0ddd,Merge_failed,3b6e91a1ba1e2f3335b8f8a7923bdecd746e40f4ab85d9722e071d6470fa389e,Merge_failed,dfcd75ec41e9ebd628704f312f0c55133064890c0bdc1f55b6a2d2aa738f0ddd,Merge_failed,c61e4f2429b93145629c364db8409d8350d426bc6389ad021496aa4ed2186c3d,Merge_failed,dfcd75ec41e9ebd628704f312f0c55133064890c0bdc1f55b6a2d2aa738f0ddd,Merge_failed,05a730e32704485317c4832df5d273c6254a8e5f3dd5ab201bf8020804ea6632,Merge_failed,69a0b3064397ea6b812977833e37d992298717cf6f70566f0c8ecdf2f22ae47c,Merge_failed,a1c5153990d6a9175017c22d3404224a5d9bf96cad1a66408a1eeace814aa418,Merge_failed,f74d01d8b0a5122b3225b314e775b6f10013390545920a4f079071dbeb3c1390,Merge_failed,ae2a18da30e322265359428b773f6281a7c8a47615bd087a151599236be0f874,Merge_failed,12c8dc469698796e46a369592b0ee9f261ce9093874c17819d1f3e208db68f74,Merge_failed,70589e6d23dd241a1eb36751eb306d3d75a771ac615550baf23a632b549aedd7,Merge_failed,af7b6d1a576ba6cbbff1e6101817a0b8d0afd8694cf2f077305e2c45a182e25b,Merge_failed,ab2fc7902ea3752002cea8c294d8e6b2ed6d869fcd4d7ce7b847b59ec365a4d7,Merge_failed,9c7e6b8e700971e2fb1440d47c3c6f054e029e789be0c0d159c94132edc8a24c,Merge_failed,46105f03fd4bae53009f1ebf0ecf9f35939b5e9ac1f4dd0c46575a8b8fde0294
16,refs/heads/main,15cbb306b6a162438dead6e432ff75f52ec03c22,ce5a93c1161b9fa95a44ab1175556d12238a0e61,9621390b0251b4a1b64984b5db1fb423d84626fc,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/ce5a93c1161b9fa95a44ab1175556d12238a0e61_9621390b0251b4a1b64984b5db1fb423d84626fc_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/ce5a93c1161b9fa95a44ab1175556d12238a0e61_9621390b0251b4a1b64984b5db1fb423d84626fc_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/ce5a93c1161b9fa95a44ab1175556d12238a0e61_9621390b0251b4a1b64984b5db1fb423d84626fc_left_right.log'}",True,True,472,28282,True,Tests_passed,c6912d051f85e9c8c232f712eab096db21cf56fa466e0cea5243b2369edde600,True,Tests_passed,dbb382761b6dea2c455abf0ceb5bd2c8f1977ad3d807cb63ddeda1e3bee4b020,True,Merge_failed,1cd852a4113c452b3e17ffdceb6956fbc0c62f7c726a1a8b0d55afefe7293771,Merge_failed,04003e9ed3102ee6826bd1be30476e181ace3e94fdc5d9cd8104a233da7fc9cc,Merge_failed,1cd852a4113c452b3e17ffdceb6956fbc0c62f7c726a1a8b0d55afefe7293771,Merge_failed,ef021de03e627ac7598e5f9c3489ce7c089dc1728ccff0a0ee08c00f1aa04481,Merge_failed,a76474ac3b31265efd050ddbbd08e225e47ace6275a7ed5fdd9a97f39cc0f2db,Merge_failed,a76474ac3b31265efd050ddbbd08e225e47ace6275a7ed5fdd9a97f39cc0f2db,Merge_failed,1cd852a4113c452b3e17ffdceb6956fbc0c62f7c726a1a8b0d55afefe7293771,Merge_failed,8f7a3d78732fd147883eae341d49f4ebb3aa83069dda368eb7c94166d35b1d04,Merge_failed,29c22f8d45a41e72863a5f860921482e2f073e9eacdf02e5041c3c70314ecfc0,Merge_failed,669c9f29f68fe35925598e38baa6453a43596c54e898628882c368758b5f3d04,Tests_failed,81109c0f5efddfea10f30879335133ef3295f94e8079058976f8b6f9da95f54b,Merge_failed,f21f681cfa7593206396e62560bbe5275d94e92ff8fa950ae3b01210548e273e,Merge_failed,c479f62b4a18f9c42b2ec7317b06b422aa04a73718cd3623894d06a651bffba5,Merge_failed,c1fd044528596c77739823971ec6a4bf5cdb297355daa112e5f8c13bf1d9782f,Merge_failed,f21f681cfa7593206396e62560bbe5275d94e92ff8fa950ae3b01210548e273e,Merge_failed,f21f681cfa7593206396e62560bbe5275d94e92ff8fa950ae3b01210548e273e
26,refs/heads/main,d3dab0d22cae3028dd4c73a89a5f8bca1fd21a6d,e12087656c9664032beeecaca312373b695124d4,30194f2eaa18fccaad1d02c16af0260d99d033bb,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/e12087656c9664032beeecaca312373b695124d4_30194f2eaa18fccaad1d02c16af0260d99d033bb_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/e12087656c9664032beeecaca312373b695124d4_30194f2eaa18fccaad1d02c16af0260d99d033bb_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/e12087656c9664032beeecaca312373b695124d4_30194f2eaa18fccaad1d02c16af0260d99d033bb_left_right.log'}",True,True,576,25465,True,Tests_passed,dfab7d5fd1766af2a6128305822bde5cc778c3475240d4a6bdc1f69783aa6a5e,True,Tests_passed,2b3fde7f6d52efae7562691c4d21ee04dc7d87da79631634dc5d423359103397,True,Merge_failed,e523e384c2bb4ab336e98698fd624768b3cf8d128ca50ebd6ac777abccae4777,Merge_failed,a960b7c19fc3a8922ef39b457219741b20c57ecd41837f626aff828d1af5923a,Merge_failed,e523e384c2bb4ab336e98698fd624768b3cf8d128ca50ebd6ac777abccae4777,Merge_failed,a960b7c19fc3a8922ef39b457219741b20c57ecd41837f626aff828d1af5923a,Merge_failed,e523e384c2bb4ab336e98698fd624768b3cf8d128ca50ebd6ac777abccae4777,Merge_failed,e523e384c2bb4ab336e98698fd624768b3cf8d128ca50ebd6ac777abccae4777,Merge_failed,e523e384c2bb4ab336e98698fd624768b3cf8d128ca50ebd6ac777abccae4777,Merge_failed,20e2372dfa44c5121340ac53bc1764c9d3dae1be8d6d7a4bffa27219110cf4ec,Tests_failed,711923991381579b5f4ca06223959b97e57834ffbbef293a677763f2127dafca,Tests_failed,9811fbfc344ae7648226ff0969426a35beae729a0dced44604b1abd7c8799dc1,Merge_failed,6121efd49ebd0c9c0544cc3d2ff145e9ec9ef6e67caf1a73d7a38b323dccd0e0,Merge_failed,e523e384c2bb4ab336e98698fd624768b3cf8d128ca50ebd6ac777abccae4777,Merge_failed,6b6d5f0af1dd8abb6c54ea84f1a884ceb08045a18d78785362e3a85fddb38c17,Merge_failed,f6c2836bf766cf1eba1edac76283704a0d2a0b0f94b7a56ba7e278f1f0ddb012,Merge_failed,e523e384c2bb4ab336e98698fd624768b3cf8d128ca50ebd6ac777abccae4777,Merge_failed,e523e384c2bb4ab336e98698fd624768b3cf8d128ca50ebd6ac777abccae4777
30,refs/heads/main,74baae279d3574b916ef068af9b58f5990750027,16f8bd5b16947533f5b5c915e2a7d911adf425f1,065c3f0cc6cc0dc48bfd18e9d1ff9eb0ebec2e66,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/16f8bd5b16947533f5b5c915e2a7d911adf425f1_065c3f0cc6cc0dc48bfd18e9d1ff9eb0ebec2e66_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/16f8bd5b16947533f5b5c915e2a7d911adf425f1_065c3f0cc6cc0dc48bfd18e9d1ff9eb0ebec2e66_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/16f8bd5b16947533f5b5c915e2a7d911adf425f1_065c3f0cc6cc0dc48bfd18e9d1ff9eb0ebec2e66_left_right.log'}",True,True,403,24134,True,Tests_passed,b27d49583bba00d56500b4d3fdfd2298ebf016f481ee3b663f67a60ec970dff4,True,Tests_passed,8596ee2064a21704c1236d07eb63ad2d2658f57500f9b6ced14e69244d6519eb,True,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_passed,8dab15a2c52b942c816900bc353f204891bf6659c00e23280c754a27871903b5,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_passed,8dab15a2c52b942c816900bc353f204891bf6659c00e23280c754a27871903b5,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_failed,6a0cbe27cc3a0b142e5466860ec3ce5927fc66e91de2b626564abd08121116e2,Tests_failed,e93d6aa449b79882ee67287ccd2e335d5871c87d528e388b37599c56557235c1,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_passed,8dab15a2c52b942c816900bc353f204891bf6659c00e23280c754a27871903b5,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c,Tests_failed,aec0133745e8a9ce324c8e3bfaa7c6de7cd20b4e7a531fe85586d3085ef92d1c
31,refs/heads/main,52f970d29686fe8737122e403e0c8ebca63536a9,f9f426e3587a868aaebd23f6e1fcbd0e5ffb791e,9605befbd689d43f067d4869844e88899052ef4b,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f9f426e3587a868aaebd23f6e1fcbd0e5ffb791e_9605befbd689d43f067d4869844e88899052ef4b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f9f426e3587a868aaebd23f6e1fcbd0e5ffb791e_9605befbd689d43f067d4869844e88899052ef4b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/f9f426e3587a868aaebd23f6e1fcbd0e5ffb791e_9605befbd689d43f067d4869844e88899052ef4b_left_right.log'}",True,True,430,24627,True,Tests_passed,7de28214311e520eb02285ef0b6b9aba987997d4a8493a7122b4652c4c296f01,True,Tests_passed,e3ff66e2fa6ebcc276d19c7a81abd668a2600498bcb8f7340295a84a2dbb077e,True,Merge_failed,e0abbe88bbc33d834c39cbe05d08133570f95ff3351d19487009e5f6e76d3731,Merge_failed,57558f949669e77eb4ac0c77eea8fa439192b3c6140d758bee6bb53a3409baa2,Merge_failed,e0abbe88bbc33d834c39cbe05d08133570f95ff3351d19487009e5f6e76d3731,Merge_failed,19c3e8bafbb6690810082b68eb3236c10849ae17bab572efe33fb7720c2118ce,Merge_failed,5816cbef9338f6708df83f40f203370b58d474b0d86c2831c3475c9aefbb234b,Merge_failed,5816cbef9338f6708df83f40f203370b58d474b0d86c2831c3475c9aefbb234b,Merge_failed,5816cbef9338f6708df83f40f203370b58d474b0d86c2831c3475c9aefbb234b,Merge_failed,101e4110c02d9479c38881e9ff334e495d6c0bf48fffaa9325e1dd0d9e288108,Merge_failed,13942a4c4d65fab7a1e4fb896c1b9e3cfd2e9495285b980f871bf793fdcd778f,Merge_failed,8e7db53d505ba2285960ccc71b3e309ec1e1423e387ffd02fdaca443a503e1fb,Merge_failed,e12539c09e873bd72e0c321a9860f92329b18892de923aaf12c2ab4e47e2c32f,Merge_failed,f5e93dd3fdc8690beeb9ab5840e026eb9b3779ce660dcc85d20d8dcfdf456b0b,Merge_failed,301e1da5d335fd2c5b9ba58a093d59e6120b924bcfc2681e7659df150b0d1308,Merge_failed,d661ceac607a00e767bc6199643dfa878291667731ed4f2805c699dc8a5d3a12,Merge_failed,75b7934b82553f3721960bd7af1ffcc65ac9a0930b5c2f3e5417adcc7dd80da2,Merge_failed,d661ceac607a00e767bc6199643dfa878291667731ed4f2805c699dc8a5d3a12
32,refs/heads/main,1db6f18ac4582f4a3247c934d767e6ce8d6442e3,0997e5bbf10cddc7be891b2dd3316ee4d9918d86,1a0c2a655141f05d1a04aa71e90874b1e4118df7,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/0997e5bbf10cddc7be891b2dd3316ee4d9918d86_1a0c2a655141f05d1a04aa71e90874b1e4118df7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/0997e5bbf10cddc7be891b2dd3316ee4d9918d86_1a0c2a655141f05d1a04aa71e90874b1e4118df7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/0997e5bbf10cddc7be891b2dd3316ee4d9918d86_1a0c2a655141f05d1a04aa71e90874b1e4118df7_left_right.log'}",True,True,450,25458,True,Tests_passed,36afb176c2e0c289a7e4e18cb0319ef304f7fac73215017d8cd06bcc05a078eb,True,Tests_passed,8666d058954c4279c9247d97cac8ba367c0f90e5255ef8b6b5c69acceda03f5e,True,Merge_failed,af05b83e064b68be1a16dd83680140f90950fe0a5610b66b63c957c97aeb79dc,Merge_failed,cfa0324f87fc5979cb6fb7659e60285ea30e9f1316e772700781b21c15b28969,Merge_failed,af05b83e064b68be1a16dd83680140f90950fe0a5610b66b63c957c97aeb79dc,Merge_failed,cfa0324f87fc5979cb6fb7659e60285ea30e9f1316e772700781b21c15b28969,Merge_failed,af05b83e064b68be1a16dd83680140f90950fe0a5610b66b63c957c97aeb79dc,Merge_failed,af05b83e064b68be1a16dd83680140f90950fe0a5610b66b63c957c97aeb79dc,Merge_failed,af05b83e064b68be1a16dd83680140f90950fe0a5610b66b63c957c97aeb79dc,Merge_failed,886b5d46ab86c0bcdb3a312ed060fd65b85e1ccc825452010fd6909a429f416a,Merge_failed,6ad7718138071cfe1078cda9599beaa40afeb1d57972754c1c96d7e4cca6dbe5,Merge_failed,b4cda3484b22ded4b1197c527c66c9e72be23fed20ec641a56f922a532b26d3e,Merge_failed,5749d2d3db85a457a0bcaadcc3ec8001ae39da3ef3642f80a9f55010a0ce8fbe,Merge_failed,59c32a5b5c52a737b8807a515cd26ea2277fe80e11053205928e164c3aa658c2,Merge_failed,5e0b170c50d6f6af88e7ace2f9fb32fcf5756f00847a132a666ffc39216c468b,Merge_failed,fc0de32ce32c6ee6f2c5945aba1eb4dbfa4b264e8deb7c27faf5873297ebf9ef,Merge_failed,59c32a5b5c52a737b8807a515cd26ea2277fe80e11053205928e164c3aa658c2,Merge_failed,af05b83e064b68be1a16dd83680140f90950fe0a5610b66b63c957c97aeb79dc
34,refs/heads/main,d7469cb5dabe8820a797fbb1fb8f7358aa120ff9,bcfe3bb6d0701f75a57fe9a0c4f1f7183332975d,e3fa222dd0d668d6b7e1b99ea027547b760b952f,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/bcfe3bb6d0701f75a57fe9a0c4f1f7183332975d_e3fa222dd0d668d6b7e1b99ea027547b760b952f_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/bcfe3bb6d0701f75a57fe9a0c4f1f7183332975d_e3fa222dd0d668d6b7e1b99ea027547b760b952f_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/bcfe3bb6d0701f75a57fe9a0c4f1f7183332975d_e3fa222dd0d668d6b7e1b99ea027547b760b952f_left_right.log'}",True,True,495,26566,True,Tests_passed,fe7f820e1c9fbe3a80bdc5d32c2b9e5b6e068642acdeb9777e098f3b0ce3e824,True,Tests_passed,ae45de2c2c7454a0ea2d20a0d055dc1ddc26aa84e142e6fa4387bbb29843ecdf,True,Merge_failed,1cf31958bf5006cc3bccd96be3de564a22eeac64ebe9434be1ae1f2a3150088c,Merge_failed,a541e8f5b8491e99188ec369f08d687c4bce87e844e7cf585b051c514c1bdd21,Merge_failed,1cf31958bf5006cc3bccd96be3de564a22eeac64ebe9434be1ae1f2a3150088c,Merge_failed,a541e8f5b8491e99188ec369f08d687c4bce87e844e7cf585b051c514c1bdd21,Merge_failed,1cf31958bf5006cc3bccd96be3de564a22eeac64ebe9434be1ae1f2a3150088c,Merge_failed,1cf31958bf5006cc3bccd96be3de564a22eeac64ebe9434be1ae1f2a3150088c,Merge_failed,1cf31958bf5006cc3bccd96be3de564a22eeac64ebe9434be1ae1f2a3150088c,Merge_failed,d5f8a57cd633c1750fef264923bad99a5efa0c21cecc4322b6530842ba41710b,Merge_failed,da031505d78f41f12a3e7ba55a674bae4a244549b7fbcb9188fbd3f7a156695c,Tests_failed,30926b31dd6c3ea0ddf6f08bbc62bdb40a9887022bd0fba1b4fe92f029118eab,Tests_failed,672dd11726540e1cdba0ac61be084eb565b627d32bb471d07857f9817dd877fa,Merge_failed,1cf31958bf5006cc3bccd96be3de564a22eeac64ebe9434be1ae1f2a3150088c,Merge_failed,a541e8f5b8491e99188ec369f08d687c4bce87e844e7cf585b051c514c1bdd21,Tests_failed,59289c262347bd9327d34a68d29123c198ea00fd6fb032c7c5420c392edd7975,Merge_failed,1cf31958bf5006cc3bccd96be3de564a22eeac64ebe9434be1ae1f2a3150088c,Merge_failed,1cf31958bf5006cc3bccd96be3de564a22eeac64ebe9434be1ae1f2a3150088c
38,refs/heads/main,8f273c4b38c167f6622e01618cf3831f976373b5,643af7b61ceccb089e9ec25e23d4d700a6730357,ee2aa369ea7b51c5e4f1d01e3e206be15b5ec97b,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/643af7b61ceccb089e9ec25e23d4d700a6730357_ee2aa369ea7b51c5e4f1d01e3e206be15b5ec97b_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/643af7b61ceccb089e9ec25e23d4d700a6730357_ee2aa369ea7b51c5e4f1d01e3e206be15b5ec97b_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/643af7b61ceccb089e9ec25e23d4d700a6730357_ee2aa369ea7b51c5e4f1d01e3e206be15b5ec97b_left_right.log'}",True,True,408,23216,True,Tests_passed,b6ae312bce6c552f74f742d7a6fc235df75f90d3c71aa8498b3a6248e954fed4,True,Tests_passed,17b16493d08ff4d93f79615d4d5d16a70dd43c019cadef5965eccf6342f6bf2e,True,Merge_failed,6e252930d9314565eb3edc74d1ba63a3d3f84374ccf6c3dc89c7880c2c5a2e04,Merge_failed,0ef455d8e68e89edf6bf16cdfe3fc4f23395a0e4674217499ca21f064c3b4c4f,Merge_failed,6e252930d9314565eb3edc74d1ba63a3d3f84374ccf6c3dc89c7880c2c5a2e04,Merge_failed,0ef455d8e68e89edf6bf16cdfe3fc4f23395a0e4674217499ca21f064c3b4c4f,Merge_failed,6e252930d9314565eb3edc74d1ba63a3d3f84374ccf6c3dc89c7880c2c5a2e04,Merge_failed,6e252930d9314565eb3edc74d1ba63a3d3f84374ccf6c3dc89c7880c2c5a2e04,Merge_failed,6e252930d9314565eb3edc74d1ba63a3d3f84374ccf6c3dc89c7880c2c5a2e04,Merge_failed,1a43830ab3e63d6955691685f5009d908026b868e70ddba5a8a2b00e27a41c29,Merge_failed,76aac7a56c06d8275f3125b61d4396f3d0a25599f87c017b843b0f39d2f61ecb,Merge_failed,d0d2dae5d19a41e0fc0c10c8cb32ce081065f95857f8064b9c1f35cc6df753e6,Merge_failed,82b734e394a40c5058e3a0aee7e88c3176abe4e1839968f16dcabd40cc3f9f2a,Merge_failed,d52856082eae8c6ef46f9bf6a7848fae92cbf220b9fcf042a33290d48424a39e,Merge_failed,f4ebd0e1808d35cdd095a56c57345bb1e57b46fce5ceddec5865ac79a4c246cf,Merge_failed,f41c2eb558f5a96cf045db6a56b3ed5ead9fcdb9ab33b648dfa9a10a4a43ba33,Merge_failed,3272a31de7daac84bee20e8528260219b0ca493812b07913ad792e88194f76b5,Merge_failed,3272a31de7daac84bee20e8528260219b0ca493812b07913ad792e88194f76b5
39,refs/heads/main,643af7b61ceccb089e9ec25e23d4d700a6730357,873721dd16a3c3ccdc024ff289a3bfe863be1eed,42097ab7b542b91c92d197f37c39e3395af05fb7,,True,"{'base_left': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/873721dd16a3c3ccdc024ff289a3bfe863be1eed_42097ab7b542b91c92d197f37c39e3395af05fb7_base_left.log', 'base_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/873721dd16a3c3ccdc024ff289a3bfe863be1eed_42097ab7b542b91c92d197f37c39e3395af05fb7_base_right.log', 'left_right': 'cache/diff_analyzer/logs/joel-costigliola/assertj-core/873721dd16a3c3ccdc024ff289a3bfe863be1eed_42097ab7b542b91c92d197f37c39e3395af05fb7_left_right.log'}",True,True,450,23544,True,Tests_passed,6634bc8a0fa6ab499e0ad75433602677fa0c50dcc22ba36fef639b5953786377,True,Tests_passed,d9b223278b1227f8d82262766fc99b1c40c9de0727d5e16501100af1accbd158,True,Merge_failed,1f63f7d8422d1b24ce9ac86e7b813e2f9c462b8f3620e3047c52b642772ae3ae,Merge_failed,5f84b8bc7f8a662501da2cf90b6eff67a2e7c1f47827bf1c80740b744cb48aea,Merge_failed,1f63f7d8422d1b24ce9ac86e7b813e2f9c462b8f3620e3047c52b642772ae3ae,Merge_failed,4cfc7db5df53f45f23c4c17a54b3af0c4cdd58aa18e440b20ece3a9b44a4186c,Merge_failed,84cd7970d2a1396158e625107dab96a853b71d59176501d8b0b8e1c81716945c,Merge_failed,84cd7970d2a1396158e625107dab96a853b71d59176501d8b0b8e1c81716945c,Merge_failed,1f63f7d8422d1b24ce9ac86e7b813e2f9c462b8f3620e3047c52b642772ae3ae,Merge_failed,270bd99977f8a4909eb033ab97195645f11c2905c06482a61e4bff8593a9735f,Merge_failed,d433a914f00e839a1d052c5f802595667bf0f889e0d54e8057cfbadd81055479,Merge_failed,118e8a2e55378540d2d26d2965bbbc69f5f415298dfdaf399138ee149197e26a,Merge_failed,b538d97d65ea9d47f70daeab9d9cdb6a9c5d48640ca480457b7163d792e7ac1e,Merge_failed,adf6ba4292d12c884c662715013c91e4e7748532e877f4bde609344e28b75ff1,Merge_failed,44c92969bb599070d546b607a1caa8c4c89b3821575172c493fd54d6cb53b65e,Merge_failed,4c6cd17a47793f4387db26a8bd0dc0d7d32d0f06540d6a26e0f5066e00b05d69,Merge_failed,adf6ba4292d12c884c662715013c91e4e7748532e877f4bde609344e28b75ff1,Merge_failed,7a98e59087ab2600db031c21364c4b2c722765c423278a0086cc6bbe571b2c1b
