idx,repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
14918,CloudSlang/cloud-slang,Java,0.966887,6,1,0.163107,183.0,28.0,1,12359,0.564214,98,1,1,1,1
15155,objectify/objectify-insight,Java,0.934783,0,1,0.125866,0.0,0.0,0,2614,0.405368,15,0,0,1,1
15579,masterspambot/katharsis-core,Java,0.949153,2,1,0.160499,0.0,0.0,1,1890,0.357434,88,1,0,1,1
15830,TestingForum/seleniumtestsframework,Java,0.990991,1,0,0.247002,13.0,0.0,1,19604,0.288287,25,1,0,1,1
16189,junichi11/netbeans-color-codes-preview,Java,0.888889,1,0,0.34257,0.0,0.0,1,1923,0.317451,12,0,0,1,1
16594,mangstadt/ez-vcard,Java,1.0,1,0,0.433617,10.5,0.0,1,34146,0.448443,54,1,0,1,1
17319,kboyarshinov/AutoInflate,Java,0.333333,1,0,0.066116,0.0,0.0,1,655,0.588571,39,0,0,1,0
17620,bodar/yatspec,Java,0.971963,1,0,0.038798,0.0,0.0,0,5091,0.41829,12,0,0,1,0
18533,objectify/objectify,Java,0.976879,0,1,0.292296,0.0,0.0,1,17665,0.457167,316,0,0,1,1
18824,intuit/tank,Java,0.923458,1,0,0.280756,0.0,0.0,1,310164,0.305264,21,0,0,1,0
20185,ngageoint/elasticgeo,Java,0.935484,2,1,0.126321,0.0,0.0,1,5561,0.406797,30,1,0,1,1
20831,tim-group/karg,Java,1.0,1,0,0.005914,0.0,0.0,1,4034,0.397975,11,0,0,1,1
21361,GlenKPeterson/J-cicle,Java,1.0,1,0,0.29068,0.0,0.0,1,5027,0.361698,59,0,0,1,1
25965,TurhanOz/ReactiveDirectoryChooser,Java,0.953488,1,1,0.022392,0.0,0.0,1,2003,0.424242,30,0,0,1,1
26544,jacek-marchwicki/rx-java-extensions,Java,0.931034,1,0,0.210626,0.0,0.0,1,4937,0.269269,17,0,0,1,1
28837,fizzed/rocker,Java,0.986486,1,0,0.247444,0.0,0.0,1,6741,0.256883,27,0,0,1,0
29540,svendiedrichsen/jollyday,Java,1.0,1,0,0.183139,2.526316,0.0,1,10455,0.483694,23,1,0,1,1
32627,doridori/Dynamo,Java,0.733333,1,0,0.0,0.0,0.0,1,793,0.405797,192,0,0,1,0
33606,elastic/elasticsearch-lang-python,Java,0.875,2,0,0.209197,0.0,0.0,1,1089,0.662162,90,1,0,1,1
34762,DimitrisAndreou/memory-measurer,Java,0.8,1,0,0.112216,0.0,0.0,1,7856,0.608738,19,0,0,1,1
36062,aima-java/aima-java,Java,0.982895,2,1,0.275102,16.375,0.0,1,51294,0.255898,164,1,0,1,1
38275,e-Contract/eid-applet,Java,0.901478,1,0,0.209076,0.0,0.0,1,48159,0.3446,11,0,0,1,1
38580,elastic/elasticsearch-cloud-azure,Java,1.0,1,0,0.311888,24.0,4.0,1,3096,0.307862,68,1,1,1,1
39778,npryce/make-it-easy,Java,0.969697,2,1,0.131402,0.0,0.0,1,1510,0.38,69,1,0,1,1
41062,elastic/elasticsearch-analysis-kuromoji,Java,0.933333,2,0,0.256367,4.0,0.6,1,1374,0.384359,120,1,1,1,1
41070,Ekryd/sortpom,Java,1.0,0,1,0.056057,0.0,0.0,0,18304,0.519176,28,0,0,1,1
43574,JorgeCastilloPrz/Corleone,Java,0.93617,1,1,0.323644,53.0,1.0,1,4379,0.254159,46,1,1,1,1
44881,elastic/elasticsearch-analysis-smartcn,Java,0.909091,2,0,0.346505,2.526316,0.026316,1,533,0.323009,190,1,0,1,1
45535,JavadocMD/simplelatlng,Java,0.947368,1,0,0.308875,0.0,0.0,1,2192,0.533884,20,0,0,1,1
45548,Clarifai/clarifai-api-java,Java,1.0,1,0,0.118135,0.0,0.0,1,1477,0.370258,13,0,0,1,1
45884,wnbittle/dyn4j,Java,0.958237,1,0,0.233708,2.278689,0.016393,1,149152,0.366405,39,1,0,1,1
46981,pushtorefresh/storio,Java,0.966942,2,0,0.208368,0.0,0.0,1,8180,0.341285,1579,1,0,1,1
47564,elastic/elasticsearch-river-twitter,Java,1.0,1,0,0.174214,6.52381,0.238095,1,1941,0.273096,188,1,1,1,1
48288,raydac/java-binary-block-parser,Java,0.967213,1,0,0.270254,20.0,0.25,1,16863,0.582367,21,1,1,1,1
50513,ben-manes/concurrentlinkedhashmap,Java,0.98,3,0,0.280983,2.244444,0.044444,1,11491,0.330913,78,1,1,1,1
53421,ctjoreilly/aima-java,Java,0.982872,1,0,0.183561,0.0,0.0,1,221038,0.255898,164,0,0,1,0
55246,elastic/elasticsearch-lang-javascript,Java,0.928571,2,0,0.302525,1.974359,0.179487,1,1674,0.3976,86,1,0,1,1
55438,elastic/elasticsearch-river-couchdb,Java,0.888889,2,0,0.161491,3.0,0.205128,1,1883,0.555746,159,1,1,1,1
55583,elastic/elasticsearch-cloud-aws,Java,1.0,6,0,0.217981,8.0,1.333333,1,3161,0.5036,537,1,1,1,1
55655,tecnico-softeng-distsys-2015/phonebook,Java,0.909091,1,0,0.015779,0.0,0.0,0,501,0.369973,11,0,0,1,0
59077,pusher/pusher-http-java,Java,0.928571,2,1,0.193347,8.555556,0.444444,1,1317,0.379498,15,1,1,1,1
59595,wongcain/MVP-Simple-Demo,Java,0.904762,1,0,0.074586,0.0,0.0,0,1050,0.282454,169,0,0,1,0
59746,elastic/elasticsearch-mapper-attachments,Java,1.0,2,0,0.223846,4.37037,0.37037,1,2412,0.623877,322,1,1,1,1
60965,elastic/elasticsearch,Java,0.987617,20,1,0.224747,13.852459,10.491803,1,450592,0.329683,15698,1,1,1,1
61464,elastic/elasticsearch-river-rabbitmq,Java,0.875,2,0,0.154731,3.351351,0.405405,1,1574,0.458586,154,1,1,1,1
63877,tox4j/tox4j,Java,0.928571,2,1,0.16243,92.0,10.5,1,13497,0.295466,44,1,1,1,1
65127,hazelcast/hazelcast-simulator,Java,0.973451,3,0,0.087545,59.5,23.5,1,25093,0.420198,23,1,1,1,1
65308,unchartedsoftware/ensemble-clustering,Java,0.986014,2,0,0.29838,1.625,0.0,1,12940,0.341702,21,1,0,1,1
68769,mrwilson/java-dirty,Java,1.0,1,1,0.0,0.0,0.0,0,595,0.47139,99,0,0,0,0
70372,kaazing/gateway,Java,0.99268,6,1,0.280424,21.666668,2.904762,1,182873,0.264003,41,1,1,1,1
72077,Microsoft/AppInsights-Java,Java,0.976431,2,0,0.359498,108.0,26.0,1,17287,0.356487,14,1,1,1,1
78981,sdaschner/jaxrs-analyzer,Java,0.989011,1,0,0.355561,0.0,0.0,1,7625,0.449214,108,0,0,1,0
79276,vbauer/caesar,Java,0.833333,1,1,0.122024,51.0,0.0,1,1628,0.588339,109,1,0,1,1
81039,ddavison/conductor,Java,0.833333,1,0,0.441744,3.8,0.2,1,1017,0.95624,18,1,0,1,1
81562,grpc/grpc-java,Java,0.979866,5,1,0.337754,77.333336,46.333332,1,16862,0.31742,1154,1,1,1,1
82029,pusher/pusher-websocket-java,Java,0.830189,1,0,0.153589,4.952381,0.142857,1,4195,0.456475,94,1,1,1,1
82438,google/google-auth-library-java,Java,1.0,1,0,0.156356,10.0,12.0,1,1993,0.449568,38,1,1,1,1
82571,confluentinc/kafka-rest,Java,0.946809,1,0,0.189859,61.5,6.5,1,9411,0.521695,195,1,1,1,1
82817,aol/micro-server,Java,0.981752,1,0,0.030303,52.5,7.5,1,8774,0.359817,348,1,1,1,1
84162,reactive-streams/reactive-streams-jvm,Java,0.952381,2,1,0.159982,21.142857,5.285714,1,6549,0.732682,1026,1,1,1,1
86148,unchartedsoftware/aperture-tiles,Java,0.979651,4,0,0.291192,163.0,27.0,1,98439,0.262198,66,1,1,1,1
89169,vbauer/houdini,Java,0.958333,1,1,0.095321,43.0,0.0,1,1199,0.342029,28,1,0,1,1
92715,spotify/futures-extra,Java,1.0,4,1,0.229638,3.722222,0.5,1,1480,0.598122,19,1,1,1,1
94273,scottganyo/gcm-server,Java,1.0,0,0,0.268281,0.0,0.0,1,1511,0.52028,13,0,0,1,1
97086,hcadavid/spring4-rest-oauth2,Java,0.4,0,0,0.152125,0.0,0.0,1,379,0.772358,16,0,0,1,0
98461,sebastiangraf/treetank,Java,0.879795,1,1,0.0811,0.0,0.0,1,366869,0.348664,18,0,0,1,1
98505,sebastiangraf/perfidix,Java,0.818182,1,1,0.490404,1.615385,0.0,1,6406,0.353369,15,0,0,1,1
99089,OAuth-Apis/apis,Java,0.974138,5,0,0.177262,5.263158,0.368421,1,37103,0.257188,391,1,1,1,1
99536,eseifert/gral,Java,0.86859,2,0,0.39931,12.123077,2.415385,1,23042,0.326873,18,1,1,1,1
99721,spring-projects/spring-restdocs,Java,0.905405,1,0,0.278349,13.6,7.8,1,4631,0.466308,339,1,1,1,1
100090,guardianproject/TrustedIntents,Java,0.857143,0,0,0.094216,0.0,0.0,1,979,0.540089,40,0,0,1,1
100897,enonic/xp,Java,0.992782,5,0,0.067102,451.0,133.0,1,263754,0.254581,95,1,1,1,1
103145,fengdai/clickguard,Java,0.5,1,0,0.304452,0.0,0.0,1,624,0.431877,32,0,0,1,1
103302,biboudis/streamalg,Java,1.0,1,1,0.111638,10.0,0.0,1,2161,0.365063,13,1,0,1,1
103376,KurentoLegacy/kurento-media-framework,Java,0.943854,3,0,0.266107,33.333332,0.0,1,59393,0.271015,14,1,0,1,1
104089,GoogleCloudPlatform/gcloud-java,Java,0.982143,1,1,0.219098,63.5,10.0,1,8916,0.279661,64,1,1,1,1
106054,hawkular/hawkular-metrics,Java,0.962687,3,1,0.38818,108.199997,12.0,1,26881,0.278743,71,1,1,1,1
106830,Swrve/rate-limited-logger,Java,0.769231,2,1,0.173077,41.0,3.0,1,1498,0.29,13,1,1,1,1
107483,servicosgovbr/guia-de-servicos,Java,0.961165,2,0,0.271775,906.0,149.0,1,11323,0.320892,57,1,1,1,1
108624,mozilla/j2me.js,Java,0.998688,4,1,0.430078,377.333344,132.666672,1,186678,0.372795,183,1,1,1,1
109095,lambdista/try,Java,1.0,2,0,0.280769,5.888889,0.111111,1,963,0.466368,39,1,1,1,1
109644,expercise/expercise,Java,0.979695,2,1,0.057598,28.75,2.0,1,18572,0.312765,21,1,1,1,1
110779,tuguangquan/mybatis,Java,0.933839,3,1,0.23575,33.333332,0.0,1,77855,0.352268,65,1,1,1,1
113525,pivotal-cf/chaos-lemur,Java,0.941176,1,0,0.349562,7.75,0.0,1,1924,0.422719,18,1,0,1,1
114291,danielflower/multi-module-maven-release-plugin,Java,0.916667,1,1,0.025873,41.5,0.0,1,4094,0.481725,17,1,0,1,1
115312,tarql/tarql,Java,1.0,1,0,0.104421,2.26087,0.217391,1,2135,0.42198,60,1,1,1,1
115601,jenjinstudios/jenjin,Java,0.975758,1,1,0.209349,94.5,3.0,1,9148,0.308428,17,1,1,1,1
115902,aol/simple-react,Java,0.976378,1,0,0.25463,68.333336,7.666667,1,12150,0.558307,327,1,1,1,1
116014,JetBrains/teamcity-deployer-plugin,Java,1.0,1,0,0.039108,5.315789,0.421053,1,3854,0.273737,18,1,1,1,1
116649,ruediste/btrbck,Java,0.927273,2,0,0.096875,7.6,0.2,1,4230,0.279363,38,1,1,1,1
116701,objectos/dojo,Java,0.914894,1,0,0.350888,0.0,0.0,1,4399,0.301859,11,0,0,1,0
116934,Netflix/Surus,Java,1.0,1,0,0.103441,15.0,5.0,1,4060,0.42652,254,1,1,1,1
117174,kenshoo/freemarker-online,Java,0.875,2,0,0.231575,9.454545,2.090909,1,2110,0.453488,17,1,1,1,1
119894,Microsoft/AppInsights-Android,Java,0.981651,4,0,0.283306,94.0,1.5,1,8589,0.389236,40,1,1,1,1
120592,zsoltherpai/fluent-jdbc,Java,1.0,1,0,0.13714,121.0,1.0,1,3520,0.304808,32,1,1,1,1
123421,benwilcock/android-alltest-gradle-sample,Java,0.5,1,0,0.115226,0.0,0.0,1,568,0.574074,122,0,0,1,0
126909,OpenHFT/Chronicle-Wire,Java,0.977273,3,0,0.092969,78.5,1.0,1,6065,0.337911,41,1,1,1,1
127831,fangzy/spring-redis-plugin,Java,0.956522,1,1,0.21149,0.0,0.0,1,1446,0.290548,12,0,0,1,1
134199,etsy/statsd-jvm-profiler,Java,1.0,1,1,0.211125,18.166668,1.166667,1,1301,0.491837,162,1,1,1,1
138704,stevespringett/dependency-check-sonar-plugin,Java,0.833333,1,1,0.02916,3.5,0.0,0,18883,0.321168,13,0,0,1,1
139716,jesse01/WebViewJavascriptBridge,Java,0.8,1,0,0.020583,0.0,0.0,0,623,0.938776,78,0,0,1,0
140077,google/google-api-java-client,Java,0.676647,4,0,0.253029,2.571429,0.22449,1,26262,0.351217,361,1,1,1,1
141926,square/javapoet,Java,1.0,2,1,0.124327,81.0,31.333332,1,5755,0.508958,1695,1,1,1,1
142093,liaohuqiu/SimpleHashSet,Java,1.0,1,1,0.183673,0.0,0.0,1,580,0.319672,127,0,0,1,1
144058,openscore/score-actions,Java,0.99,4,1,0.150769,85.666664,13.0,1,10168,0.422858,23,1,1,1,1
144605,google/google-http-java-client,Java,0.819728,3,1,0.357238,3.0,0.177778,1,28583,0.339384,370,1,1,1,1
144711,Netflix/iep,Java,0.955556,2,1,0.226309,47.666668,14.666667,1,3979,0.315775,12,1,1,1,1
145162,8tory/auto-parse,Java,0.913043,1,1,0.205219,25.0,0.0,1,3160,0.30778,25,1,0,1,1
145191,apache/falcon,Java,0.994152,5,0,0.210323,43.5,0.25,1,82886,0.570476,44,1,1,1,1
145410,CorfuDB/CorfuDB,Java,0.972028,3,1,0.25361,294.5,1.0,1,26097,0.255664,53,1,1,1,1
147057,vmware/upgrade-framework,Java,0.798077,2,1,0.420913,1.625,0.0,1,9618,0.549354,14,1,0,1,1
147442,piotrturski/zohhak,Java,0.953125,1,1,0.05705,0.0,0.0,1,2038,0.610738,13,0,0,1,1
147826,fanpix/android-model-record,Java,0.95122,2,0,0.091022,0.0,0.0,1,2409,0.373361,15,1,0,1,1
147894,cathive/sass-java,Java,0.72,1,1,0.378122,44.0,1.0,1,1322,0.345705,11,1,1,1,1
148145,vince-styling/aSQLitePlus-android,Java,0.954545,1,0,0.464851,23.0,0.0,1,2517,0.607359,42,1,0,1,1
148214,dsyer/spring-security-angular,Java,0.604651,1,0,0.007589,17.666668,2.0,0,6800,0.396337,536,0,1,1,1
149188,mslosarz/nextrtc-signaling-server,Java,0.962264,1,0,0.05427,8.5,0.0,1,2126,0.459433,11,1,0,1,1
149285,sqlparser/sql2jooq,Java,0.890323,0,0,0.060426,0.0,0.0,1,10050,0.565421,14,0,0,1,1
150466,MicBrain/Graph-API,Java,1.0,1,0,0.125751,110.5,7.5,1,2319,0.608028,19,1,1,1,1
150525,bywan/trello-java-wrapper,Java,1.0,2,1,0.034677,5.272727,0.181818,1,3725,0.274828,21,1,1,1,1
151572,awslabs/amazon-sqs-java-messaging-lib,Java,1.0,2,0,0.366742,0.0,0.0,1,8717,0.575209,29,1,0,1,0
151638,digitalfondue/lavagna,Java,0.988679,2,1,0.127511,31.666668,1.333333,1,45899,0.324521,243,1,1,1,1
155994,fge/throwing-lambdas,Java,0.992188,1,0,0.033383,56.0,2.666667,1,8670,0.421877,26,1,1,1,1
158196,RealTimeGenomics/rtg-core,Java,0.993497,2,0,0.240587,18.5,0.0,1,326452,0.488244,17,1,1,1,1
161261,moznion/java-mysql-diff,Java,1.0,1,1,0.117241,25.333332,1.0,0,1614,0.476117,14,0,1,1,1
163320,lejon/T-SNE-Java,Java,1.0,1,0,0.130178,30.333332,1.0,1,3306,0.310391,24,1,1,1,1
170385,googlesamples/android-testing,Java,0.660377,4,0,0.423049,8.0,4.666667,1,3088,0.321063,2017,1,1,1,1
171181,druid-io/druid,Java,0.994105,4,1,0.180299,44.75,17.049999,1,192583,0.3402,2463,1,1,1,1
176474,jembi/openhim-legacy,Java,0.6,2,1,0.054077,2.0,0.0,1,2359,0.288332,16,1,0,1,1
181062,release-engineering/pom-manipulation-ext,Java,0.228972,2,0,0.125054,10.0,5.333333,1,10982,0.289616,11,1,1,1,1
183870,GoogleCloudPlatform/DataflowJavaSDK,Java,0.970435,17,1,0.311382,113.333336,4.666667,1,61593,0.428562,558,1,1,1,1
185428,vert-x3/vertx-reactive-streams,Java,0.923077,2,0,0.222752,11.375,0.25,1,1141,0.486637,13,1,1,1,1
188792,neo4j/neo4j-ogm,Java,0.973214,3,0,0.319599,120.333336,5.333333,1,46239,0.421243,58,1,1,1,1
191861,Netflix/spectator,Java,0.972527,1,1,0.312753,52.25,15.75,1,11987,0.27814,48,1,1,1,1
194827,kkapelon/java-testing-with-spock,Java,0.604167,1,0,0.02418,31.333332,2.333333,0,3178,0.25976,35,0,1,1,1
198601,bedatadriven/jackson-datatype-jts,Java,1.0,2,0,0.0,0.8,0.1,1,510,0.320574,16,0,0,1,1
199123,happyfish100/fastdfs-client-java,Java,0.9375,1,0,0.250527,0.0,0.0,0,6403,0.260207,37,0,0,1,0
209122,jbossdemocentral/brms-rewards-demo,Java,0.5,1,0,0.103029,0.0,0.0,1,3958,0.836777,12,0,0,1,0
209431,JavaCodeKata/stream-lambda,Java,1.0,1,0,0.203704,0.0,0.0,1,120,0.538462,33,0,0,1,0
210646,waylau/Gradle-2-User-Guide-Demos,Java,0.522727,1,0,0.037313,12.0,0.0,0,1752,0.348571,16,0,0,1,0
217298,tasermonkey/thumbnailator,Java,0.886957,1,0,0.24342,3.225806,0.0,1,54045,0.774913,13,1,0,1,1
218237,davidmoten/rxjava-extras,Java,0.888889,1,1,0.13715,70.333336,0.0,1,1458,0.707428,50,1,0,1,1
234372,ic3fox/jawr,Java,0.892308,1,0,0.194012,17.466667,0.333333,1,111848,0.327479,18,1,1,1,1
234503,super-csv/super-csv,Java,0.930736,2,1,0.454211,3.755556,0.377778,1,15586,0.532787,106,1,1,1,1
235590,bedrin/jdbc-sniffer,Java,1.0,1,1,0.12459,51.666668,6.333333,1,1976,0.578306,19,1,1,1,1
237955,zsiegel/rxandroid-architecture-sample,Java,0.75,1,0,0.121602,0.0,0.0,1,751,0.361204,21,0,0,1,1
238618,snazy/ohc,Java,0.983051,1,0,0.112112,132.0,4.0,1,20035,0.437117,69,1,1,1,1
252718,vert-x3/vertx-codegen,Java,0.96,2,0,0.156439,25.200001,3.8,1,11380,0.293387,13,1,1,1,1
252720,vert-x3/vertx-metrics,Java,0.962963,2,0,0.28614,15.25,0.125,1,2636,0.375643,13,1,1,1,1
253980,chiuki/gce2retrofit,Java,0.6875,1,0,0.028205,19.0,4.5,1,1822,0.276433,102,1,1,1,1
254193,emory-courses/cs323,Java,0.990196,2,0,0.362418,46.0,2.0,1,4097,0.289467,16,1,1,1,1
256395,ExactTarget/fuel-java,Java,0.953488,1,0,0.202551,46.200001,2.4,1,10081,0.350143,15,1,1,1,1
256507,LuanLouis/mybatis-enhanced-cache,Java,0.875,1,0,0.154778,0.0,0.0,1,683,0.377155,13,0,0,1,1
256813,DawnFire-Realms/CommunityBridge,Java,0.956522,1,0,0.112687,11.555556,2.555556,0,12576,0.346045,19,0,1,1,1
256948,gilbutITbook/006746,Java,0.964045,1,0,0.060913,0.0,0.0,0,12900,0.266379,11,0,0,1,0
257014,englishtown/vertx-cassandra,Java,0.97619,1,1,0.196382,8.846154,0.538462,0,2863,0.396403,14,0,1,1,1
257532,jparsec/jparsec,Java,0.988636,1,1,0.150278,0.0,0.0,1,61279,0.490458,100,0,0,1,1
258461,xmlunit/xmlunit,Java,0.94,1,1,0.330896,5.641509,0.433962,1,22342,0.581112,49,1,1,1,1
258485,ncjones/editorconfig-eclipse,Java,0.958333,1,0,0.246763,7.75,0.0,1,1108,0.366972,53,1,0,1,1
260066,h6ah4i/android-openslmediaplayer,Java,0.984615,1,0,0.153417,38.0,5.5,1,65313,0.462973,110,1,1,1,1
260069,pkainulainen/java-advent-2014,Java,0.954545,1,0,0.119094,0.0,0.0,0,1365,0.531915,22,0,0,1,0
261069,kaazing/k3po,Java,0.181818,2,0,0.16263,50.0,11.0,1,1221,0.803865,20,1,1,1,1
261393,h2oai/h2o-training-book,Java,1.0,3,0,0.05985,22.0,0.0,0,5945,0.587209,36,1,0,1,0
262123,psidnell/ofexport2,Java,0.973333,1,0,0.128121,76.333336,3.0,1,13698,0.379051,56,1,1,1,1
262472,digidotcom/XBeeJavaLibrary,Java,0.99537,3,0,0.466453,58.5,3.0,1,26802,0.670173,28,1,1,1,1
262667,vanezkw/cycleviewpager,Java,1.0,2,0,0.030151,0.0,0.0,0,196,0.262411,11,0,0,1,0
263278,Stratio/stratio-connector-deep,Java,0.909091,3,0,0.287256,42.0,0.0,1,5302,0.519817,58,1,1,1,1
264947,mulesoft/library-examples,Java,0.496094,2,0,0.125684,91.75,0.0,1,33531,0.509937,27,1,1,1,1
264972,elibom/mokai,Java,0.980769,1,0,0.147727,0.0,0.0,1,23664,0.472922,20,0,0,1,1
265337,LostMC/CommunityBridge,Java,0.956522,0,0,0.112687,0.0,0.0,0,12576,0.346045,19,0,0,1,0
265555,tbroyer/bullet,Java,1.0,1,1,0.083246,5.0,0.0,1,902,0.707665,62,1,0,1,1
265637,tim-group/narrative,Java,0.941176,0,0,0.126202,0.0,0.0,1,855,0.729045,25,0,0,1,0
265716,JetBrains/xodus,Java,0.992816,1,0,0.154144,47.799999,0.0,1,73297,0.278025,99,1,0,1,1
267787,google/acai,Java,0.722222,1,1,0.288126,17.0,1.666667,1,1539,0.600592,26,1,1,1,1
269416,AdRoll/cantor,Java,0.8,1,0,0.197609,0.0,0.0,1,4622,0.386364,50,0,0,1,1
269645,Syncleus/Ferma,Java,0.976744,1,0,0.360701,40.666668,0.0,1,8225,0.270641,25,1,0,1,1
271241,jitsi/jicofo,Java,0.991935,3,0,0.279502,28.5,3.25,1,15016,0.343929,18,1,1,1,1
271334,playframework/play-ebean,Java,0.625,2,1,0.16716,8.333333,3.0,1,610,0.319475,34,1,1,1,1
271451,acciente/oacc-core,Java,0.993243,1,0,0.144857,43.0,3.25,1,37730,0.684813,56,1,1,1,1
272300,jbossdemocentral/brms-coolstore-demo,Java,0.947368,1,0,0.07637,5.541667,0.333333,1,2140,0.287978,33,1,1,1,1
272976,abel533/Mapper,Java,0.978947,1,0,0.293539,47.333332,0.333333,1,9118,0.393514,132,1,1,1,1
272996,spring-projects/spring-data-keyvalue,Java,1.0,2,0,0.411191,10.5,2.0,1,3914,0.50107,13,1,1,1,1
273164,IntuitDeveloper/SampleApp-TimeTracking_Invoicing-Java,Java,0.932203,2,0,0.291289,100.0,1.0,1,54457,0.352192,17,1,1,1,1
273363,kohlschutter/junixsocket,Java,0.888889,2,0,0.279753,1.728814,0.118644,1,3073,0.330657,45,1,0,1,1
273938,kohlschuetter/junixsocket,Java,0.888889,2,0,0.279669,1.365079,0.079365,1,3082,0.330657,45,1,0,1,1
273958,OPENNETWORKINGLAB/onos,Java,0.900895,9,0,0.285563,275.25,0.5,1,195444,0.258492,174,1,1,1,1
274118,spring-projects/spring-integration-aws,Java,0.865854,3,0,0.345237,0.709677,0.322581,1,6820,0.447271,19,1,1,1,1
274503,stephanenicolas/reflection-no-reflection,Java,0.756757,1,0,0.146886,0.0,0.0,1,3232,0.27346,94,0,0,1,1
276479,tech-advantage/sonar-gerrit-plugin,Java,0.913043,2,1,0.075699,5.285714,0.714286,1,1697,0.310611,14,1,1,1,1
278127,jodastephen/property-alliance,Java,0.793103,2,0,0.408963,55.0,13.0,1,5221,0.37591,16,1,1,1,1
278913,englishtown/vertx-jersey,Java,0.970874,1,1,0.314457,9.545455,0.454545,1,4727,0.39712,89,1,1,1,1
279341,eclipsesource/J2V8,Java,0.962963,1,0,0.065136,28.833332,2.166667,1,10000,0.749138,214,1,1,1,1
280226,cecom/pomutils,Java,0.965517,2,0,0.241656,46.0,3.0,1,1960,0.347021,14,1,1,1,1
280731,siosio/DomaSupport,Java,0.181818,1,0,0.069225,10.75,1.5,1,1380,0.337553,12,1,1,1,1
280948,serenity-bdd/serenity-jbehave,Java,0.916667,1,1,0.103104,14.625,1.25,1,5338,0.526995,11,1,1,1,1
281059,glombard/hello-dagger2,Java,0.806452,1,0,0.057257,3.333333,0.0,0,865,0.264631,12,0,0,1,0
281197,divolte/divolte-collector,Java,1.0,3,0,0.109012,53.5,8.0,1,24220,0.279615,47,1,1,1,1
281272,wildfly-extras/wildfly-camel,Java,0.936937,2,0,0.240014,77.0,107.5,1,22762,0.459233,37,1,1,1,1
281305,prometheus/jmx_exporter,Java,0.909091,3,0,0.053599,3.25,0.8125,1,1323,0.32175,35,1,1,1,1
282813,awslabs/dynamodb-streams-kinesis-adapter,Java,0.961538,0,0,0.284169,0.0,0.0,1,2211,0.52349,13,0,0,1,1
283048,englishtown/vertx-guice,Java,1.0,1,1,0.421182,1.444444,0.055556,1,501,0.435323,11,0,0,1,1
284412,freewebsys/java-large-file-uploader-demo,Java,0.938272,2,0,0.162507,0.0,0.0,0,6314,0.347023,22,0,0,1,0
285067,meltmedia/dropwizard-crypto,Java,1.0,1,1,0.163468,9.0,0.75,1,1376,0.385274,11,1,1,1,1
285554,tracee/tracee,Java,1.0,3,1,0.050579,41.200001,12.8,1,10445,0.582966,22,1,1,1,1
287345,ajermakovics/lambda2sql,Java,1.0,1,0,0.111111,4.333333,0.0,1,145,0.291667,22,0,0,1,1
