idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,test merge,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass
1,refs/heads/master,1b223ba083e8098adceda37fc9cfefa2560c7d3d,c47ecfbb36016c99fd2ed9249195a3fcd68a5016,ee2b3799552ebb4ae9c4d0b386b1b9f2873813f4,,52,False,False,False,920d7967adfbda3815f350070310bf520b8d68404a63268093386356e7dd9b9b,d86db01616c2b5caa63844f36a334a38634c29a34033062eb4060653fc54599d,Tests_timedout,0.0,Tests_timedout,0.0,False
2,refs/heads/master,7daebc4e468c678bcdecc54223289a703618bf17,daea4f4780913aa0068ee842368c5f42bdfcbb68,c36903e1650046cf5a0bf70f96c6daa75417c4e8,,108,True,True,True,ebf79c802a0010c2ed44110bd5c817cac0cde79781b3b1973b6bc373759c8409,81d80a52ad9dc2e6beb968a7ee3d5f9e6a702f230d16b28742b9d987bade043f,Tests_passed,0.6689869568155707,Tests_passed,0.6729873367889246,True
5,refs/heads/master,8034f1509f356860eddff14bc354decd2af3de1e,99af91c73da6f5f7e9b8f56554521a78f2d89526,2aa4ca916bfbbe54ed98a91d9d38eda6922a898e,,536,False,False,False,,,,,,,
11,refs/heads/master,b21af71cac0e5a6e173ea64021758723abec58ba,7538492036adb0f8a83844d275c41c1ac9f34f51,0cbb7237bf0793f473823baf8bf8acff9b42b761,,395,True,False,False,319ac946109664919cb7b79d210d345535552c80e923790874accef2cea4dd2a,e7bbaee47e7a89a14557686c38cc83170887da2e525e978d4957fee7f511b66a,Tests_timedout,0.0,Tests_timedout,0.0,False
17,refs/heads/master,b0249ccb299a5412359e77994bef00be41ad0432,5a5040fb9fbdd773782b11557bac850ed68e64ec,d8e9116463f28992012c151501de19d639c32cf2,,47,False,False,False,fc9862deaf2bfe922df875bda24dc764e858fa909be981b3bc54c9d28cbeba75,213a44cf4dbb37609d380f5487921a2a001b138311c9217fdcda55286d985726,Tests_timedout,0.0,Tests_timedout,0.0,False
20,refs/heads/master,d8ddc534ebe43b6ca3737002c13a2c87a05abfd9,55ed88e82028aaa6e59fd307ba62724ae95da41b,29b1a00780ba421c408d2e2c47fb41551dbeb456,,14,False,False,False,089e0d3bbe22624c805c7143fdad83f41625af89a91185ed1389daf5c606a4a1,736d844b6e6dfc3f6480f94724a58d05278fc457af1251a316e82d9ecfa84da4,Tests_passed,0.6616915422885572,Tests_passed,0.6655546288573811,True
24,refs/heads/master,384b1a6570de96f930f0dc2844b49bdbfad54335,9a8df3a66ae4238b656a3c7f7de51bf05306ccbd,419fa1cf9143efe64cd2317714e92089e825eaa0,,1567,False,False,False,16b86fd156001bee5535149d504ca71a99b8da2461c1cfd3b69eb9c4bae37b43,cf92fcc7dbf8136fb1a7c084bb515c3314a3f25dd2c51e3a386c6275d7fae4c7,Tests_passed,0.6533856172536937,Tests_passed,0.6530213063220398,True
26,refs/heads/master,a8de7cb48ce263ade8a4e4c85b5189b26aea0084,66c948c954ba35f98003b4f319b16009403460c5,6ea45c8f39d161a3b492d99f372aa741e27b8608,,352,False,False,False,e14b80afb0e68b69515edd8f9b813a31c7a2b36ae329fbae59323199a38e99f1,1c0f1269997dad094499094e151d6b36ffa1bb61fd7a529d0456eac816401a3c,Tests_passed,0.6529756915339481,Tests_passed,0.6530213063220398,True
29,refs/heads/master,ab1416a0a76aeb1b48a7ed36ea6181ae6b3632e3,6f1c211e388548d7abefdaccf284218dc7e89337,f67bfe4c2b94f9cc391c04d4a9b7e4e461c79e1c,,3,False,False,False,b7f867f5650a7594f8c7b8a46d4e191879c5613ec67768236c6a74543a84934c,b21e62fae6e1fff2fcf8303b87f4de9db7239942b503a2c4f806647d24a68e89,Tests_passed,0.6550230543523823,Tests_passed,0.6529272041358111,True
35,refs/heads/master,be90c68735cdf21d8ffffdc412fe249045955ef1,1f0706afce4b45ba394c5dff0ec856d49cd1ec8f,ffcfc022ff49238c593df100cd638947b1b3125b,,18,False,False,False,19e72e8c10a6b3caa0727a0edc8060567d5106726d8e45d871a7266141d1a746,b633e9e9de819313bf07744d4035b456c11fcda631f39f32c531fb76a3b92854,Tests_passed,0.6525080340924968,Tests_passed,0.6529272041358111,True
