idx,repository,head hash,tree fingerprint,head test result,explanation
115,abel533/mapper,5e31029b2df157afe9031fe183f6d7795ac2aa19,cd8146d2889d5baf62fbb6af142701d39f1b43c2c2bff3b4baf6bb0e05cc1028,Tests_passed,
200,addthis/stream-lib,5a3bc87c5314f7771ea3968e9015a3d25536343e,4f6221071b6a7d503cdbf958d253c5d603154074a3c95528e4fcfe7e41d0d098,Tests_passed,
225,adoptopenjdk/jitwatch,114b796c457c5a13578d64fad6b4c255862652dc,381f5b8030725fe2c654a97db42e1be3372dae4e21f0ebe5503d06bb83688c9f,Tests_passed,
472,alibaba/canal,0e4c5c40d7c426c4c2a8eb4dd695dfece1ff3779,86dd98d195c71e0da9dc027d09f9714256912a716097dfa53ae370cb18bdd709,Tests_passed,
481,alibaba/easyexcel,c299e2333053f307e73c94d85b4e3b3d81328885,28c91e95355dc2bdaf5dd239e4ef1e9e878966b231875f5735751f85adf48f36,Tests_passed,
501,alibaba/nacos,7ce177486fe2c493d2a4c86aa0e19b9aa7bcf6a7,9cbc9d066ecc2702da3f6e4368ef700a8b9da8da25bd7800e05a1aa25f8fee82,Tests_passed,
513,alibaba/tprofiler,8344d1ae2d4a83f6c7ead16fec392b5fce95bba5,fc3e9989a7f39085d47392c52aef96c9e669caed8e0090f38332b4bda2668e9c,Tests_passed,
709,androidquery/androidquery,45ed6c85dcf0b3b58a08810b423886fb275b33b0,403c4de3fea19d494b9d52b4fc8a08c8850ff4a9a2041e2a8088753619b303fd,Tests_passed,
823,antlr/grammars-v4,3564c6347810cbcc55248ed7ee70401b26354c4d,2bd5a6d8d4d2d8226e2182321e62bcbef6d3edbe4430e774ab91d9523f5bc7c8,Tests_passed,
860,apache/commons-beanutils,6b4706813e5e74288275a08cec5d38d72575ab36,0a1200b92f3847f3c37de3421fb19fee1102ace02b6a7022a5d415dd3fac46f1,Tests_passed,
861,apache/commons-codec,351950fb582667d52046082e4b4d4410774c5176,a1bf3591f92e7e16985552cc25be40c1f03ba92e8d62df96582bb7c84a2343c3,Tests_passed,
862,apache/commons-collections,1df5606b821047e9cda52b728027d7ddb8e6fb4c,5170956838f4e87d7030a742dcd69c251362452357841d38643c5c1a5bd66630,Tests_passed,
863,apache/commons-dbcp,bcf8e0dfb6c5156a7c638c0eed08d94ac4e93c42,bdb7dd0f8a3253447f0df840f2c939ae32caabb7340a6184441bb8e90c226102,Tests_passed,
864,apache/commons-io,bc51547e7c8619163078ec81938babf6733777f5,686fd239ddae506af9f3da5c7a253abf4931a11c66bb0a95ae9806ee9120a5a1,Tests_passed,
865,apache/commons-lang,c9dfff1c08f6fbe63c1795172f9221678eb89398,1fd3e86f60fb133c24b0df8d6fc9f913fcae4c4a904626d2c175092177bba97a,Tests_passed,
866,apache/commons-logging,64ea85b0ca524211bda714edfe3576db1f05b727,4af21de14d415130ec1dbc445ce475e177c774abda83ff06f2595e7e3019c45f,Tests_passed,
908,apache/log4j,b7e9154128cd4ae1244c877a6fda8f834a0f2247,edfc2ee39e018f5546b0da258703b5d84198a158bcd8e433c05da360c90b6adc,Tests_passed,
924,apache/servicecomb-java-chassis,5d8ebe62fa30eb09282974ac1a2d94160c0741fe,d9ff68ddbdc17f177f389c37e6bc26e491994f2496a60499af5a933fb16e7524,Tests_passed,
926,apache/shiro,82d47384ac40c95da19e0630ca77b6b131dbd846,b23e3132a312a81115b4973af4c6dec1bdab0933003256e8379f6db43d1647e0,Tests_passed,
932,apache/tomcat-maven-plugin,2a1797d7dce71b3d18ffc090a980162d8d67899a,7d29ce917dabcface9fd302ea375bb7a951acda8b01f180962864799b326a36e,Tests_passed,
1192,ata4/disunity,6c1c3215419faaca427fa8d1e960f13cde76e766,651606dc92740c14adaf208ff46f8d7bf40aa90bf76a45a48ee99e9859d12ee0,Tests_passed,
1198,athou/commafeed,197b3b258be1c89d29d2ec2bef932f20bae4f0e9,28d285b18df1946b712c2e1a868122243d955741fffed42cff8d59b4275f8a2d,Tests_passed,
1305,awaitility/awaitility,a56dce91b2abff03beb4773180ec6e5edb0117d7,3476f3523c1b54aed873ca4e0961b51700ef90c34303b70077212fddd5e92e15,Tests_passed,
1422,baichengzhou/springmvc-mybatis-shiro-redis-0.2,ce2a2c30a35da487e4bacef441a71bfcca878dfb,4dd256781f9e8b9054cebae94ef528533fbe893ccbc92856ad12e849309eba3d,Tests_passed,
1490,bastillion-io/bastillion,a52e25febf8cdb1ac232ae2b6cb1dfad1bd026bb,35dd4a329db3685f03031d7109e3c6ffcde8bebac298bf415792bfe0f1415b49,Tests_passed,
1635,biezhi/30-seconds-of-java8,1af5d4dee567f00e662cb9b74abc16067312e338,6394b99b5af623fded0be6a87b0707908b8cbc5520687ac877bdc37011e7ff16,Tests_passed,
1637,biezhi/wechat-api,4d7458a766752673cec956ea7afd956c3cbe7010,b1168b09273128be8fa7e41687bfd783343eb1f769ef107988729fbad3ba773f,Tests_passed,
1805,bonnyfone/vectalign,63806ac71ebd5d9472bf97893b3ec6c5741b5735,b7c066d072307f225e5d6a2edbf35503d1d44e5e8021708d2f517901d83b9ad3,Tests_passed,
1908,brianway/webporter,31fafaec9993c99862e07b17d9bb64a4b162b4c1,3694aa860daab428815cd438cd6c3278989a444812b625e7f0b5e82e1c3c7886,Tests_passed,
