idx,repository,head hash,head test result,tree fingerprint,explanation
115,abel533/mapper,5e31029b2df157afe9031fe183f6d7795ac2aa19,Tests_passed,cd8146d2889d5baf62fbb6af142701d39f1b43c2c2bff3b4baf6bb0e05cc1028,
200,addthis/stream-lib,5a3bc87c5314f7771ea3968e9015a3d25536343e,Tests_passed,4f6221071b6a7d503cdbf958d253c5d603154074a3c95528e4fcfe7e41d0d098,
225,adoptopenjdk/jitwatch,c3b463ba9d0652b797039e424c9bfd5a0123273b,Tests_passed,06cc32f2dfc1ed58c89e75deb9d95ce7f376fee6d9d53787347071943ea4be4b,
472,alibaba/canal,0e4c5c40d7c426c4c2a8eb4dd695dfece1ff3779,Tests_passed,86dd98d195c71e0da9dc027d09f9714256912a716097dfa53ae370cb18bdd709,
481,alibaba/easyexcel,a16984862b5ac4447460b2810246f4401464abc1,Tests_passed,e1e312415f20839a4fcd6dcac60820bce8d89fb36c4408f722a8199395b3e4e3,
501,alibaba/nacos,327ebaf36e7972d09e84c62eb30e71ce920e6430,Tests_passed,61102291756b4a5a2eec317f71107b0607c690aa478714d9b95a58076ae1bba4,
513,alibaba/tprofiler,8344d1ae2d4a83f6c7ead16fec392b5fce95bba5,Tests_passed,fc3e9989a7f39085d47392c52aef96c9e669caed8e0090f38332b4bda2668e9c,
709,androidquery/androidquery,45ed6c85dcf0b3b58a08810b423886fb275b33b0,Tests_passed,403c4de3fea19d494b9d52b4fc8a08c8850ff4a9a2041e2a8088753619b303fd,
860,apache/commons-beanutils,6b4706813e5e74288275a08cec5d38d72575ab36,Tests_passed,0a1200b92f3847f3c37de3421fb19fee1102ace02b6a7022a5d415dd3fac46f1,
861,apache/commons-codec,351950fb582667d52046082e4b4d4410774c5176,Tests_passed,a1bf3591f92e7e16985552cc25be40c1f03ba92e8d62df96582bb7c84a2343c3,
862,apache/commons-collections,1df5606b821047e9cda52b728027d7ddb8e6fb4c,Tests_passed,5170956838f4e87d7030a742dcd69c251362452357841d38643c5c1a5bd66630,
863,apache/commons-dbcp,bcf8e0dfb6c5156a7c638c0eed08d94ac4e93c42,Tests_passed,bdb7dd0f8a3253447f0df840f2c939ae32caabb7340a6184441bb8e90c226102,
864,apache/commons-io,c070fefba1f8e4e9725dcce9da67ce3edbb76743,Tests_passed,c2ec0c79d168bbaa73e99ad84bec88c63ef40ae9bfd6f5b3d7c7c29c04763a17,
865,apache/commons-lang,c9dfff1c08f6fbe63c1795172f9221678eb89398,Tests_passed,1fd3e86f60fb133c24b0df8d6fc9f913fcae4c4a904626d2c175092177bba97a,
866,apache/commons-logging,64ea85b0ca524211bda714edfe3576db1f05b727,Tests_passed,4af21de14d415130ec1dbc445ce475e177c774abda83ff06f2595e7e3019c45f,
886,apache/httpcomponents-client,7d853d521e8741aa1967b216fe4dfbe425a21efa,Tests_passed,bcfdb4285c0af7619c137e9103a0e9fa146c03e759bab584af8ae2617dc0f51c,
908,apache/log4j,b7e9154128cd4ae1244c877a6fda8f834a0f2247,Tests_passed,edfc2ee39e018f5546b0da258703b5d84198a158bcd8e433c05da360c90b6adc,
919,apache/poi,6e3d031e80d83bc914299a1cc992594f5800595a,Tests_passed,fb61ad2b7c7d2d28cf822e633a1c67441edc72592aa31224d258a2e8de046248,
924,apache/servicecomb-java-chassis,f3057169528c686501f6cd2595c45b75579dd1d0,Tests_passed,dd46121180795ae4a80abe61113384b0d4a876a6a5fa9f6fa017e5b6484479aa,
926,apache/shiro,0f327d6ba855e1931432c6b4f1a598b05af690c0,Tests_passed,9579014976c352d800250639948ac402ee3b76ab58867ff8fbdc01b568cab8a4,
932,apache/tomcat-maven-plugin,2a1797d7dce71b3d18ffc090a980162d8d67899a,Tests_passed,7d29ce917dabcface9fd302ea375bb7a951acda8b01f180962864799b326a36e,
1192,ata4/disunity,6c1c3215419faaca427fa8d1e960f13cde76e766,Tests_passed,651606dc92740c14adaf208ff46f8d7bf40aa90bf76a45a48ee99e9859d12ee0,
1198,athou/commafeed,2b51de8e5b004effdd28ff6bb1e1cc37cec3b162,Tests_passed,531fbf4627aafd355e547e7a75deeeace3f6ff89ecc7718e3c42981f0a750991,
1305,awaitility/awaitility,a56dce91b2abff03beb4773180ec6e5edb0117d7,Tests_passed,3476f3523c1b54aed873ca4e0961b51700ef90c34303b70077212fddd5e92e15,
1422,baichengzhou/springmvc-mybatis-shiro-redis-0.2,ce2a2c30a35da487e4bacef441a71bfcca878dfb,Tests_passed,4dd256781f9e8b9054cebae94ef528533fbe893ccbc92856ad12e849309eba3d,
1490,bastillion-io/bastillion,a52e25febf8cdb1ac232ae2b6cb1dfad1bd026bb,Tests_passed,35dd4a329db3685f03031d7109e3c6ffcde8bebac298bf415792bfe0f1415b49,
1635,biezhi/30-seconds-of-java8,1af5d4dee567f00e662cb9b74abc16067312e338,Tests_passed,6394b99b5af623fded0be6a87b0707908b8cbc5520687ac877bdc37011e7ff16,
1637,biezhi/wechat-api,4d7458a766752673cec956ea7afd956c3cbe7010,Tests_passed,b1168b09273128be8fa7e41687bfd783343eb1f769ef107988729fbad3ba773f,
1805,bonnyfone/vectalign,63806ac71ebd5d9472bf97893b3ec6c5741b5735,Tests_passed,b7c066d072307f225e5d6a2edbf35503d1d44e5e8021708d2f517901d83b9ad3,
1908,brianway/webporter,31fafaec9993c99862e07b17d9bb64a4b162b4c1,Tests_passed,3694aa860daab428815cd438cd6c3278989a444812b625e7f0b5e82e1c3c7886,
1997,bukkit/bukkit,f210234e59275330f83b994e199c76f6abd41ee7,Tests_passed,69d10891efc0ec20c8bc6ebec08bbef1e6ef7f13ad6ab38890fa8bbc7ff9ab2e,
2042,bytedeco/javacpp,2d03a8d76cacae4cfd76eb7873b2416afcb2d2de,Tests_passed,f13b51e7433cdf9da4fb480be47821103b17c4f1f350e4c8d2a078235e86d7e2,
2043,bytedeco/javacv,6ce2032ed0e01b5455bc3db483758f597555534b,Tests_passed,1b83642e817bf1acd02d734a5af70b5ab2d3e5ee3aafbb3a9e8700e79f1057c0,
2120,caoxinyu/redisclient,0f72f3de3c4790066d5d06f5049a3622861118da,Tests_passed,ce99b983da20b034065d9bcfc96e7c484581dac599e5784ec5b973da636cee0c,
2237,cglib/cglib,5c947539c1218dc4ff1a14a7c36b4856b0ee6397,Tests_passed,e0a37138db865657065c4e8cd9bf6d3cc1333434238c969436c40b0e8b327960,
2495,clojure/clojure,08a2d9bdd013143a87e50fa82e9740e2ab4ee2c2,Tests_passed,0b323db65e4339e9ae1bd7c421dbe708a370cdcee407e4b0222fad907eb57599,
2497,clojure/core.async,322adc72852bb79c143ebe5d203d100534fda8f2,Tests_passed,20b5d419e0288fe0ebbaa98f2a853f5b2352f326cd857a4d67e082e3fc53ad54,
2572,code4craft/webmagic,67644de3d9540611ef494f4bb595688a47a541a6,Tests_passed,dcb6e5e207caa76580c872951f8a783200816a791ac9fea41098f1769212d341,
2577,codecentric/spring-boot-admin,118f205518af3e61c1501067c12f010cf6385e97,Tests_passed,018e6c4a924fef7ee4e6a8cc43db0d0c11deca916b6e301f30282f7d8f8f3f2c,
2623,cognitect-labs/transducers-js,f21cb186b6163697fe3c8c6d98125c6f66cb7632,Tests_passed,23965c25701b27983e889db281dec7bd8e25d676249dc49868cf137cd0b4ad8f,
2624,cognitect/transit-format,3f7f70180ee6930841190788dae1d6e800c552bc,Tests_passed,ef32765f095733ce173d907d90884ffafc21d19cc248a58d0af0692ac06c0503,
2710,coobird/thumbnailator,951d04f352d90f34420a82909c15453fee1b75ff,Tests_passed,019a9b4e755472fa88e22ddfd610d84ff63fe8ef54173ab2105c5aa9d459e93a,
2790,crawlscript/webcollector,878704586e75ac49737d06fc527f49c6b3b8b9b2,Tests_passed,a88c62aaa1623d99d5f0f66c76af17083b4f912cff0ed1d4e5ff07e1b2d7a594,
3213,deathmarine/luyten,64af8d1df1d2cab029779142726fbcd8bc482956,Tests_passed,b80ce06855f1d463713fa70eb653fab24ca0afa1bb70c9f0322d9a97cc3b6eb3,
3227,deemopen/zkui,1b3e7c133ab76a26c9c5b3653679d77d0cd6358d,Tests_passed,da227242290d3f32093a77341357e3051c107dc3d912ad8e3e77394641e28162,
3433,dius/java-faker,a8b8ff0acc6fcc629d08a3a9952f83be56a9a3c3,Tests_passed,20f7cff1ca70fa637de586d14137a910c1901c1f42057b11d71f7af080eebb4d,
3657,dozermapper/dozer,cae0383555ddfcb397450f9e72b7fe36a777d730,Tests_passed,11750e79ba470c1184d57ee9e805b185ce3b362c9d5d96038899c956f5b67161,
3712,dropwizard/metrics,3fbeb14a2d7a8381c3df3bea2ebf4ad470acc535,Tests_passed,b03812a5f0c9d30d080154153e6cd2535011acaa68cfbfdd7ea6f9291b28b0c7,
3815,eclipse-ee4j/beanvalidation-api,c3a6baa831edbe2fa3b44407fed8dfa3d1d2a663,Tests_passed,fa1207c2237bfe33cb50280b3424c0b1fb075720255384199927bb8556037430,
3900,eirslett/frontend-maven-plugin,4045aaf962f497f1ae7b1661537c2b1437360ded,Tests_passed,8cc7dd128ccfbb6e6a2ecb0037a572d6b66fac960452e80bffebdfff7fcc0aa2,
3928,elasticjob/elastic-job-lite,0b3a6eb993ee1abcb8ae81efa6ccaeb9b494ea5c,Tests_passed,3d508c6e61cefd9035d5eecd9b1a981116938e930531a889826aff9e4c4aa0a9,
3987,elunez/eladmin,2a879115bc5fa364f0ae8042c76edc4be84fa7e7,Tests_passed,45ee6ea3f92440194810038eaf7c19066c21ae354d1c5edccd2459ee0feccef9,
4150,esotericsoftware/kryo,e6dab285287b459a80c4b8933c2ba320cd911c3f,Tests_passed,5828f29610bf9589f4bf510efffae9e0e00feac4a8dd5be673fefcf1ebc7c449,
4208,eugenp/tutorials,66283cdd44ff1a52d3b754d4430ae592bd0ad73d,Tests_passed,74a802a642ffd8551f79bcfe0fe3d2d1246fb537991225ef413acf8a42745d94,
4492,fasterxml/jackson-annotations,41e895fea6ae0a828c6a4d604d2493d1b1407b44,Tests_passed,d6665a2217a2fe0fb51ccd3299f12b20dadef584db45ed8505a34c6139454c06,
4493,fasterxml/jackson-core,126a5d7cd92a285b4b48c479402c0a01e91d37f1,Tests_passed,7ab1164e23093928cf4c6298e2c45d8e7bb7914b8272cc5109db3c45f2249626,
4494,fasterxml/jackson-databind,47f9bc6abb0e3696040802bbcb7e203869407822,Tests_passed,958db866266c74e2f76d4ae307d284a014cbe68edab98d5153d608ee9f78f1dd,
4615,ffay/lanproxy,6d3c97f5a3ca914cdf3fa849b7d615fb2e892def,Tests_passed,fce672baac13fc2832a38cf75788eebcead72c3a9ada0f79b19b9d8c2741a91f,
5158,gephi/gephi,a42603fd0cb2c209f96c79481dcc1f7195058822,Tests_passed,a2883d219b00fd1bc570a1a6e8f22fb59ea88c650054d855108e452011c3e00c,
5494,google/error-prone,83d2ed5f370c6b7e9ff17bb926c1ce11576c3835,Tests_passed,fb51e0b805c809923aba38fb35f83a0649046220eac129e884da19354484594d,
5510,google/google-java-format,dc8b461b8599df1f043d6a1efaadfc44dfa6b823,Tests_passed,17a1208fba16b4a4316faa6d18a39e96ab361f1caf5cad476a2ddb3e5a1bd662,
5517,google/gson,b5bc7b903ad1d576a7593507c75504fbe38b3470,Tests_passed,6bdacd01b302c3319963ea14ea3fe0878139cb53636c7f8442d9eb49ceb075b4,
5521,google/guice,e23d3b4369fbacfd7f077022c4dead4030e15f22,Tests_passed,a8ba540163f3bfaa030b4efa883af56fefc587007af6e9cdd389177a08b5810a,
5532,google/jimfs,a62ae2c2bdc7b28e1e3bc857ae47e01150445aba,Tests_passed,32ed7eb3818950f25417a3043f3a6bca8337a670cd03b08a3c134d2c512e269f,
5583,google/truth,c36962776539775f88865efb0d93cef49012d9a8,Tests_passed,ac4a893bc2f75e8fa9bf22b4e20475cd80f979334ba85b17734b2a75fe94f10c,
5737,graphhopper/graphhopper,0748dcc99cfa063a697f49c7f60f60fbd612e817,Tests_passed,aab413f915d57bbb609b27d16940efb79e0c438ab80ec30cdc09157ec497c8c1,
5945,h2oai/h2o-2,be350f3f2c2fb6f135cc07c41f83fd0e4f521ac1,Tests_passed,4c4ebd1af967c0bfdf3142fb7f110cf8f2657d6ce49e83799a37681d7e23018c,
6109,hdrhistogram/hdrhistogram,3904a74e1896c22dc8a8afb0b29176a04fee7a28,Tests_passed,ff8f35792770ea6b06716cb72df635f1e3ed1afcf51bc70d4508b6cbca2e2e82,
6289,hope-for/hope-boot,bdd4a5c4eda9884e6cd3171f4dadf94785e3f903,Tests_passed,7a7e6a3a7a5e3d201bb20eb0c67316b120005acaf3039f718a699e484bb4ac00,
6549,ict-bda/easyml,b3a7bb57476090496b0ae4c6def83f1e171f4339,Tests_passed,95e44bea4b398fadcc013c0e094c0c090b92fbfd8b0a4d37a8da1ace6efe9369,
6772,intuit/karate,628428c5f94772a40ae6f330f806388e6dfb0118,Tests_passed,eec98f8eda0baa84e8160e2e6bb77dd26827bc383033fa6ab018658ee1e68aa9,
6901,j-easy/easy-rules,d4450831533e47a5c0cb361edb80dad43db228a4,Tests_passed,b1fdc50f90f60d3a82f63f0c4785fb242d4f83dfa3dacd73306e4953761d4d61,
6963,jakewharton/disklrucache,3e016356cfc7e5f9644a7a732fe0223e9742e024,Tests_passed,159884670fbacca4a8b9e3ac888fad81a8eeba9c5120accf786614ea11b70194,
6970,jakewharton/rxrelay,842359253c99177c3293594dbd66f90462d33374,Tests_passed,221188816f7e5e04b2e40d5ab735810bba1539a1b8fdabe0175e9e750a9385ae,
7087,java8/java8inaction,4786c46a24e2f7d0a749d34d585bb2c1d9f64c53,Tests_passed,5fdba5bf255aeb8d1972b315ebe5bf6f39ec10b661e6754c4b00fbd25b546994,
7104,javen205/ijpay,6d5b036ca50f9218e22b164a0a2832732faa0fc2,Tests_passed,820e8fe122c8b1f1b0f5facb7b72bffa1c793c520ecd7bf098a8e772b660e48e,
7296,jfinal/jfinal,076e76a4941c989d7f535035295aa3d055123131,Tests_passed,1724cb8103288360a42d15f6048dd1b8cba3d914957b4b8df1edbf29333d3fea,
7315,jgrapht/jgrapht,4ec044c3e3078d6b837fcb04fad8cbc66f9fdc2f,Tests_passed,0ddfc08231f29375f98fa003f4ed3ab37f2d63e5e4eca0cc75aff1b090ac07cf,
7322,jhalterman/failsafe,e8d99288a91df892340d325ad4562d064d405296,Tests_passed,ffd2e4502a50e69c2ee643f47f9f848872b757be616d4172ce80f87d3c25aa28,
7448,jodaorg/joda-time,1b5c2a0899c9fcf705d0892946deab00c4619a97,Tests_passed,d1bc631d459dc1e53293f149bdb4481bc3b86ee2637f2cbbfff2b9b5ac8228bf,
7457,joel-costigliola/assertj-core,e1fe38739223fc89ab37068bb4989d7b250481e7,Tests_passed,14c6e45ded3f4e4d5efab9ff1d6975737ea89bf91f4abb99d3e032172b51826c,
7482,johncarl81/parceler,52e6b14709eb0b84835907e71d9380124f3c6b6e,Tests_passed,2bc5fdebd8b5c849868dc2c14b0a04e78b1b60b1ce4f9ead0f04ea8b4b846159,
7596,jooq/jooq,50290b4c69ea397cc7a89f0738366f6a763bbff4,Tests_passed,38ef7a44c4845c09800a743906c89788074e5c2d70636752b0727b65a786efd6,
7799,jtablesaw/tablesaw,02d3e524110982ec2b420ff8f9126707d483374f,Tests_passed,2f279e8e45c3d7ff7a66e6c82f0d184338d358464d617f8ad3b1c64d75ee3567,
7850,junit-team/junit4,16228f3ccea3c6f1170488e0e268f3601d130f75,Tests_passed,3e9588a301134286d3f09e4de1cdb2a92f147b7e6f2cabe4c0922b621306a31c,
7903,jvm-profiling-tools/async-profiler,b8a60e66de5399a5c8a8b84397578f5e3ab85def,Tests_passed,6556d0d413ca87528c417b532ac564a690a2c086d2c12e784ad5c1064bd9ae94,
7919,jwtk/jjwt,917ffbb5d92d70b261159572a4e6bad39fe972e8,Tests_passed,b4a24abe73d80815442a5209b3584ddd7a8a7db46f2e879f9e83c6673217bbd7,
8120,kevin-wayne/algs4,a9c8fcf2d2f6dfa9da404dc6d951c34f245a3aee,Tests_passed,3ce6ffad4aadda21469accdc19244affee05d422ae2e8f210b7471ba3fc06282,
8182,killme2008/aviator,44feeb1e061031d3266f352cf57cb535eb48449d,Tests_passed,ff2c61ee798e025aa53fb9a2667d112cd23d2ba3098fab0080b82ee63b13173d,
8244,knightliao/disconf,872e69c71bc34ad6f3d6bead1bb1f96a5e9cfdb4,Tests_passed,e99bd05ede79c8015f802dd373cd4a1ce66f2436bb463fd881184ca8c533454d,
8293,kong/unirest-java,f298362e48186a3a0aa2997cc054ea6d880a5450,Tests_passed,97faa12f083b018565a288b1f49b48d2493a8228041a425adea7d6ee74e3548e,
8295,konloch/bytecode-viewer,4f65ffdea17219c86422f61ec8f7d7886a86a18b,Tests_passed,1bac23fa0fcb0b2d938007e98bf87d098e1234237685d5159c88a5f4e46abe35,
8647,lettuce-io/lettuce-core,c8d9011d5299dd6816c52cc404945fbfcf1157ac,Tests_passed,ca6799e488a815b8fa03e0a7854671c33e3f10e595c3177ae6f932a51cf1d315,
8735,lihengming/spring-boot-api-project-seed,c305af6a6bb2b698b02d731ac27218bff51c5c1c,Tests_passed,019943b505f85329c227bd9fb62aa5265349bc500c0bde4f7b1c9c1919fefdd9,
8770,linlinjava/litemall,47ea5c7420f126081e7ef17a7182890def32457d,Tests_passed,89e4402018c2c6cc3841222a888f478d841e1d54f94f2716c1e5eb1d0390c30e,
8842,liyiorg/weixin-popular,864994ee4841b08535db3ea6062489663adb672f,Tests_passed,5444861830de0500c0c7faaa00558c7082e239270025e1b68dd0000d2de43845,
8906,logstash/logstash-logback-encoder,b1e7653914fba93baf6042b15d44e54909879e4f,Tests_passed,fc6790f62eb49f6f50a846e608592f2b4637ce21620dce9e58136aa6f1024e8e,
9094,macrozheng/mall,fa0f151e414d48198fcb8b0fdd1dbb66a481ea87,Tests_passed,c53c49161c9e65b4d699e5cb2f72ed120a0e6bb547eee87b59df2680ac72da89,
9499,medcl/elasticsearch-analysis-ik,13c39692387d314fa0b9afda605ec54a3ac2ffe7,Tests_passed,e282d50d8be61b6a5c4db8268034128f0293dc4e2e87fe2dc464a3c2d9c9f934,
9500,medcl/elasticsearch-analysis-pinyin,cb04ca46eae601d2be3a64ba205a86b69b025429,Tests_passed,f4efdf0b29c89204161b0043702bc067d1a984146ece5b9171af33c66879971a,
10017,mojohaus/exec-maven-plugin,4c2980a7e73515be2128976b63a73439e7747648,Tests_passed,3a6ef4cbd7606fe4cce4ae2bc61eb75f621b941da164ee5966ba92631ff24555,
10083,moquette-io/moquette,39b1688cb720876d61aad4d323a99b5cf884692d,Tests_passed,b7ed59ef6ed429ec4b3ae493591c1ae904d36b169cf4f9b9149f71cdc66170fd,
10173,mpusher/mpush,f8d5c97f30b2bde12f1b60d11709ae1b75587a2e,Tests_passed,605f9ddbe1b2acb19abd6a7fbbb17c5f7680bc962b5540f34789e8cdc2d220a5,
10283,mybatis/mybatis-3,3eca96cc5d09273fd9d02c27e87eb5e3b0bfd5c2,Tests_passed,1149ac8b5fedd54a00af7653abd3c66710ab6e3323b846dc39a87197cdaa048a,
