idx,repo-idx,merge-idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_myers_ignorespace,gitmerge_recursive_myers_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint,repository
38-1,38,1,refs/heads/master,68f967133364244b0238c0ccf7c38f6357e490f1,d0b634badf48029428b7f8d90bb3592e5cb76764,a7f0afe85806a63e842491f79028f1a00e971acb,,ec996253d33d43c2baf924ceb34f84d6ceb8c630a05aab2dc10c5104f67bd114,Tests_passed,75788a4ec05dd6943f9916fc594eae88d2ea6545e37a12d5869eb3a4e4f4197a,Tests_passed,True,True,True,True,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,e71ab0b0cd1205338e1c0b3f892be18db428cb5bd54cb32a3be5042f210d8b0d,Merge_failed,4f98670d713a47ee360c195e9b8933e5b4555d442152c7d7496ef5cf94da5e45,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,68428b6a8626997b81a0c264090b475fc30d4ad337f5644dc85a3ceee4560214,Merge_failed,0bed9d08855f71c955ea49337647ef78fb677a0cf283674ba9d07e7155f005e8,Merge_failed,d70a099216d4391b222d24d04037c2f1dbc91d3af23477fd750c49a063eb28ff,Merge_failed,2f20588461a06cef5099badca48a217a2b11ffaded70e92309927912fff03953,lwhite1/tablesaw
59-2,59,2,refs/heads/master,57cae0eb2d9be81f18f7e6f05cb69e68cd731c7d,a0478ba744b7beb5b2c71dea640a6cf6b26f5594,83e3f970c0a9563ba289bc1d35204dfbdfa624b9,,293ed24c2bdf911155197dcdcd4b66c5add192b0f3ce37628a1a917f45bdbd8e,Tests_passed,69a85ed3e02b92d8bdcb0fe8cd66a630995461d02088a6af88c4c53dfda957b0,Tests_passed,True,True,True,True,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,73732c254c9cb08792cd0b2c683a06f8be154bd3b15144645af368422f46133d,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,73732c254c9cb08792cd0b2c683a06f8be154bd3b15144645af368422f46133d,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,73732c254c9cb08792cd0b2c683a06f8be154bd3b15144645af368422f46133d,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,Tests_passed,70e9f185da8d720d97491f9cff927f7fd2e41f5840461fee9b5215892385950a,Tests_passed,0918de2bcd29006bf411ccaffee0d667a713217cfa2b55620a8a374049404488,danielgronau/highj
112-20,112,20,refs/heads/master,ec06c99726c4d7c4d5e94601535cf87c1f62f265,4c768844566b6f1d168a3efba5b26ed3f75fc91e,d298f8d193486310c8813234ec30a280f315c6b0,,efc4243a431828199adcd76eee29018e2e54b91c49334851ce45606d3c019f30,Tests_passed,9e5ca09cb1c6a5815ba01308d1e7c56f17d7c005ad15caa33aaa810bda44b5a8,Tests_passed,True,True,True,True,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,Tests_passed,cc0d62d8c5b97f86735c5fcdbaf2285826f82a7041ed4541c45981790be9fae7,Tests_passed,01fe834f7cd4a3efd0a0dae1def28cda30348e9a342f7ade04a04be5fd52abe7,brunoribeiro/sql-parser
117-20,117,20,refs/remotes/origin/pull/4,e736609b61dd04e3f96861471d01ae60cc1a2a17,30964f94cc1b51cbcce298f904db4b8ffe4e4b92,75dbac355e592d1e833162770e5a10dcd855a6f7,,4163be707dba47263e222b36826e25c78ec7591130d0e139cc7b76c376f2b871,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,True,True,True,True,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,Tests_passed,a816d7ec410afca07fbd0cfbdcb7fbc8cad9132c27a2a60bcbbf0cad400d09ab,Tests_passed,2de06af0797159b3a1e35f29f0e02ca5f3428a0f004c4a40d1ac48aaf5833451,pandcorps/pandam
141-6,141,6,refs/heads/main,bf4de20006b5405bf4c84c50a037ef0b28a060ab,c94ae5639d1dfae52b406160ca217b9e00e8035b,eac0d64b2eb9496967334f635cdb270cffb2197b,,b3361709aea94502c808d6ebc34bebc1adae2d3b789bd1a3dd60ad2e6ff42c1a,Tests_passed,6f6231f63afcdab19d520927e0e145e67f3bb7d78d4c143de51b2203c3060f81,Tests_passed,True,True,True,True,Merge_failed,ca5738823aa7a36dee77eda4cff8533ab4609d12dd08b68268fdf0fbcba8c89a,Merge_failed,afb2665f8919f07710e634bd72739f88cdd8df64ca6a71c8040d741911aeb714,Merge_failed,ca5738823aa7a36dee77eda4cff8533ab4609d12dd08b68268fdf0fbcba8c89a,Merge_failed,d704521e13b60e4b25c8931ca39d60f0b50e1d42e5c467ae4ae69c8eb6b08547,Merge_failed,043817af079507718d5ebfe937bfb1fb33513d0e7b896cfe05f3020246ef19a2,Merge_failed,043817af079507718d5ebfe937bfb1fb33513d0e7b896cfe05f3020246ef19a2,Merge_failed,2ee8270f5b182c860280c43a90fd2c8f5b3077228b96c62ace711101c100bd89,Merge_failed,46c3531e949fa5c64cab7513d22d21627781e1a3bc662e40a7fdd075131ae6fc,Merge_failed,f7da8cebcbc4b272c846e7ae5e88e8bcddbdc7603e820af312eedf8fc3055d5d,Merge_failed,ca5738823aa7a36dee77eda4cff8533ab4609d12dd08b68268fdf0fbcba8c89a,Merge_failed,afb2665f8919f07710e634bd72739f88cdd8df64ca6a71c8040d741911aeb714,Merge_failed,feca951a6fe94165b4baf39086b77f2c753e6deeb7936c5fd0260081053fd2a1,Merge_failed,9cefd2b7754f29b8cc4e6674af86fc0af5343d8aae6bbdf6f7b1a5d895212b10,Merge_failed,8702767e23e3966c16bdce819bab859f7caf7e2146c1329981d5685fb582a2f3,glenkpeterson/j-sicle
158-32,158,32,refs/heads/master,4f8ad3c2a0d651ccf999d4f65275113de84766b3,1a5906925d71a294a180455b0b3a579ce3201447,4eb7d0b731257d0537755f851cf21a752c342827,,6473427f0754c0108c77e9813529afe904eddbcc92f4176f15bc16d4c8318a35,Tests_passed,2cedb69b7341ca64d71a46ed1e3a62aee9ba7a2a887007e8e8bbc12adfa9526b,Tests_passed,True,True,True,True,Merge_failed,84499838ce00ea6d0f2b39a1451c671c2d083a1962ab281064d51546c577dc36,Merge_failed,89d5a7ce59e3154daafbc87975eb7c8d33467cd9e1e4be921d4f86f4084ad335,Merge_failed,84499838ce00ea6d0f2b39a1451c671c2d083a1962ab281064d51546c577dc36,Merge_failed,cbcb6ee422255c31241fea1db76a62839e165823f7570debef6d4716ef6a6668,Merge_failed,84499838ce00ea6d0f2b39a1451c671c2d083a1962ab281064d51546c577dc36,Merge_failed,84499838ce00ea6d0f2b39a1451c671c2d083a1962ab281064d51546c577dc36,Merge_failed,84499838ce00ea6d0f2b39a1451c671c2d083a1962ab281064d51546c577dc36,Merge_failed,02c2505ae8fd47eefcfe71b36b455c0e4680d35bd02392cd40804c4f5d7709c1,Merge_failed,5d97b6f8be24955b0b5158a5e8c9e6c64044064870a0956635a832e7e7c89511,Merge_failed,84499838ce00ea6d0f2b39a1451c671c2d083a1962ab281064d51546c577dc36,Merge_failed,89d5a7ce59e3154daafbc87975eb7c8d33467cd9e1e4be921d4f86f4084ad335,Merge_failed,d8855b1c38f989b02e90b631b8296467adf23d01999ca952ad034b0d59139952,Merge_failed,f58dfbefd0380abd47eb154acf54f4214bf843510a847fa69515dc000dccde37,Merge_failed,f58dfbefd0380abd47eb154acf54f4214bf843510a847fa69515dc000dccde37,cloudslang/score
178-6,178,6,refs/heads/master,63ab6b841a7aa31372315a902b98fc5b2cc3b661,ea6026ee62cc184db68d841d50d58474fcdf4862,ab2032ca9769d452d4906f51cf56ca7d983a27c4,,aa82b49dd87edb07fbe37b7c2d6801fce8db7c437d1afe8a7b2723c81806286e,Tests_passed,66055b6c4498a64239ae0e49781e086ed06ec3e58be7d9651c23c53f8c6bab6a,Tests_passed,True,True,True,True,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,3cba91122d229079d26dfa7ac449401fc3198521cdbc1013a722ad7a8a37ac6a,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,3cba91122d229079d26dfa7ac449401fc3198521cdbc1013a722ad7a8a37ac6a,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,3cba91122d229079d26dfa7ac449401fc3198521cdbc1013a722ad7a8a37ac6a,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,Tests_passed,2eb4722f282ab563c519ff9eaa07c7fe5bb4d008eaef5edb034f712791619ed7,Tests_passed,da2456383ebd3cdf892ad5208d4f13c8184ddf492bc3e309d44553d43bd280f0,mangstadt/ez-vcard
244-2,244,2,refs/heads/master,d616ff21adfb6b2525ca6fc9a5c945053a5fd627,bf0b95ed01f0d3b31e4b6357312e7a20366b58f7,74f5edf2cceec3806b69fe157a58de99d5e36cc2,,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,21bf856f56036bbd34a06c75561d85e998d0fca8ed980a3d13b8dd68b4c5de46,Tests_passed,True,True,True,True,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Merge_failed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,allan-huang/remote-procedure-call
245-8,245,8,refs/heads/master,e0205e647461340fcbdf2de516d1cd0ad9fd1154,e0334f468311935d4d6bd424f3e0cfadf04fa8a6,c1ffe5a99703df9a2a03eb738a62b4e06146d732,,1e5a990cd6230bd1349487409b1f854537dcfc974c057a9fdbacf61e4157aef7,Tests_passed,98721d9325e48626d8685176f77677fc4d81ccd4a5add362fbdff9d9dc06fd37,Tests_passed,True,True,True,True,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,99da89f3f36c8e0b30deaec45df2fdd735e12683e9af29bc6c7c7020938ac951,Merge_failed,7045d352e29d6656306f550f08ef34c0a17e80440ef2ad6575c6ab26e4eb697c,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,4eb8531250b1bba59ba8fda191adfdab2f1b6b44741d460579c9dcb4c6c8b8de,Merge_failed,a977a6c1de67b049eca07fff181f5a462bd27479c3225c87b4054c0ce25de441,Merge_failed,66b5b2cf9eaad4a6bc6991a067fcac125ae223de9b3fe4f3af7775017612090a,Merge_failed,ae204d2622ff03d2afe0121b924607314dc7c732e2cc217874213699bd6a4cf7,cloudslab/cloudsim
248-6,248,6,refs/heads/main,bf4de20006b5405bf4c84c50a037ef0b28a060ab,c94ae5639d1dfae52b406160ca217b9e00e8035b,eac0d64b2eb9496967334f635cdb270cffb2197b,,b3361709aea94502c808d6ebc34bebc1adae2d3b789bd1a3dd60ad2e6ff42c1a,Tests_passed,6f6231f63afcdab19d520927e0e145e67f3bb7d78d4c143de51b2203c3060f81,Tests_passed,True,True,True,True,Merge_failed,ca5738823aa7a36dee77eda4cff8533ab4609d12dd08b68268fdf0fbcba8c89a,Merge_failed,afb2665f8919f07710e634bd72739f88cdd8df64ca6a71c8040d741911aeb714,Merge_failed,ca5738823aa7a36dee77eda4cff8533ab4609d12dd08b68268fdf0fbcba8c89a,Merge_failed,d704521e13b60e4b25c8931ca39d60f0b50e1d42e5c467ae4ae69c8eb6b08547,Merge_failed,043817af079507718d5ebfe937bfb1fb33513d0e7b896cfe05f3020246ef19a2,Merge_failed,043817af079507718d5ebfe937bfb1fb33513d0e7b896cfe05f3020246ef19a2,Merge_failed,2ee8270f5b182c860280c43a90fd2c8f5b3077228b96c62ace711101c100bd89,Merge_failed,46c3531e949fa5c64cab7513d22d21627781e1a3bc662e40a7fdd075131ae6fc,Merge_failed,f7da8cebcbc4b272c846e7ae5e88e8bcddbdc7603e820af312eedf8fc3055d5d,Merge_failed,ca5738823aa7a36dee77eda4cff8533ab4609d12dd08b68268fdf0fbcba8c89a,Merge_failed,afb2665f8919f07710e634bd72739f88cdd8df64ca6a71c8040d741911aeb714,Merge_failed,feca951a6fe94165b4baf39086b77f2c753e6deeb7936c5fd0260081053fd2a1,Merge_failed,9cefd2b7754f29b8cc4e6674af86fc0af5343d8aae6bbdf6f7b1a5d895212b10,Merge_failed,8702767e23e3966c16bdce819bab859f7caf7e2146c1329981d5685fb582a2f3,glenkpeterson/j-cicle
