idx,repo-idx,merge-idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint,ivn,ivn_merge_fingerprint,ivn_ignorespace,ivn_ignorespace_merge_fingerprint,adjacent,adjacent_merge_fingerprint,adjacent_ignorespace,adjacent_ignorespace_merge_fingerprint,imports,imports_merge_fingerprint,imports_ignorespace,imports_ignorespace_merge_fingerprint,version_numbers,version_numbers_merge_fingerprint,version_numbers_ignorespace,version_numbers_ignorespace_merge_fingerprint,repository,Oracle tool
244-2,244,2,refs/heads/master,d616ff21adfb6b2525ca6fc9a5c945053a5fd627,bf0b95ed01f0d3b31e4b6357312e7a20366b58f7,74f5edf2cceec3806b69fe157a58de99d5e36cc2,,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,21bf856f56036bbd34a06c75561d85e998d0fca8ed980a3d13b8dd68b4c5de46,Tests_passed,True,True,True,True,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Merge_failed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,da8c62208a3131912761c4d210ca8386df0f5e584fbfa3343be6a92e57788d77,Tests_passed,da8c62208a3131912761c4d210ca8386df0f5e584fbfa3343be6a92e57788d77,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,Tests_passed,0317b85725bfcb3cecaa467399d36c06a7bc2e12cf673bbd2d30deffe2649254,allan-huang/remote-procedure-call,Tests_passed
681-36,681,36,refs/heads/ea,651fafcf0cdc3bbb18890955b02061bfc5f85c64,9ab050a11428838af56ad7479904209a7040b29b,b7d01c6ec8e5bdf57ecd47ed93b19624b5ba6c77,,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,True,True,True,True,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Merge_failed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,eed80cf2eb766308de18d2f9ae8e85339f69b7262b7bdf9a5e423071ae0b395e,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,Tests_passed,a1c7b9a06a19fa0710ccf8a461b9dc04dcb2c418ff5cd6d33f6b00b1d472e900,openhft/chronicle-threads,Tests_passed
3183-5,3183,5,refs/heads/master,09c65cd9540ef816799eb0540ec463ec912a300a,590e67d0d93811d58b9454be6a0c9178e7f2ba3f,fc2a9e2cffc52f1f4392b5552555196d7e41dc49,,b1fc4677d158a76fd8a141595ff1c8791f73abced5b525bfd20fa515589570b7,Tests_passed,66af1d880972b5291a442f2ae4572de0c31e6146d48a15a4422715f1d8a235b8,Tests_passed,True,True,True,True,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,2315c69fcc2e365ecb080f71ba5aa638eba509672698db069a8d5d897a7e660c,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,2315c69fcc2e365ecb080f71ba5aa638eba509672698db069a8d5d897a7e660c,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Merge_failed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,2315c69fcc2e365ecb080f71ba5aa638eba509672698db069a8d5d897a7e660c,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,2315c69fcc2e365ecb080f71ba5aa638eba509672698db069a8d5d897a7e660c,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,2315c69fcc2e365ecb080f71ba5aa638eba509672698db069a8d5d897a7e660c,Tests_passed,b022c6b42c420c170feaedea792a116dc55f77727b58a99f8c7aca315b9585c5,Tests_passed,2315c69fcc2e365ecb080f71ba5aa638eba509672698db069a8d5d897a7e660c,accla/d4m_api_java,Tests_passed
9568-7,9568,7,refs/heads/master,939b78c783eb43056a302013d8ccf9672b1799dc,de8a07bc53bc6e654bf7140d8d9fb86f75afe6d2,ef6912c26f47636a5a827cdff3aa49e610edf56a,,1a3daa84f0db9abbdde1c733f2fb321041f2d2dcef424cdb980164450054f592,Tests_passed,9c1efef58c6619d35f5692bb34262a461eaf044e40ecaf0a751f9f5f3337f688,Tests_passed,True,True,True,True,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Merge_failed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_failed,e8e62e9c752c69048f058d58f0b580f28cf0eb44d3652179213011f9f2ea8e32,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,Tests_passed,8cc4130532d161330fc80de2688f2b57e3cd1674e5819779c6e773a9cf9b6a14,recommenders/rival,Tests_passed
15601-3,15601,3,refs/heads/master,ea550c2876ef63fc2cd3980af7c9900c8e4b668b,47df45694d26dadd949d95d7f5481e1ec2a3de4e,b9f6f3dbf1bf55edbe685e7b379efeb10ac9a6d7,,d7b63d80f12fe78917eb41841d1b23ca5d94f436bcc2b43f916546ae234a5ced,Tests_passed,9bb1e1f8b15d68fa776e7cc7ef2be20cfd0dbb395d0e5ddec166c86dd98e7c40,Tests_passed,True,True,True,True,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,df2c15ce9dbc1cba3d28b68e49ea3704e607af188d47c4b122c9553518cd08d5,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,df2c15ce9dbc1cba3d28b68e49ea3704e607af188d47c4b122c9553518cd08d5,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Merge_failed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,10f68374f243d005aa88ae88f54e58330b936a0e32a2ba9bcb18fa8dc3107fd8,Tests_passed,6adb9f01507ae2a9139dc70ffb396f5677a78638a1a835054ec2a908003f359d,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,df2c15ce9dbc1cba3d28b68e49ea3704e607af188d47c4b122c9553518cd08d5,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,df2c15ce9dbc1cba3d28b68e49ea3704e607af188d47c4b122c9553518cd08d5,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,df2c15ce9dbc1cba3d28b68e49ea3704e607af188d47c4b122c9553518cd08d5,Tests_passed,7666315da8efb1b31b98b5bee793c2d5ab55ea29e4d8731bd6830ea2cb123365,Tests_passed,df2c15ce9dbc1cba3d28b68e49ea3704e607af188d47c4b122c9553518cd08d5,julietkilo/canbabel,Tests_passed
23939-6,23939,6,refs/heads/master,cd7e25b33109be5019be4c5bd155a4363a699aea,1e248bbdb7aa47033d9fcea34673c2492b293f25,da619ebfd8d34cbc272b1296bd79ab0e577d8176,,78b248e96b4a88fa2f43128c895feec9d264652f84312319c75131a87ae60a95,Tests_passed,f03afdeef57eca78a921a636cb411a3848ef21053c7d70a2fa1d0c3ed28acbb0,Tests_passed,True,True,True,True,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Merge_failed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,31a19882ccd9b02e3ff5027ec8fc81f77ea28c7e09e60f324d6ac3d17daba075,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,50f20f9c503ee11b0bbcb106e16cd4059f55f05f8b1c313c85a5abfec4833707,Tests_passed,50f20f9c503ee11b0bbcb106e16cd4059f55f05f8b1c313c85a5abfec4833707,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,Tests_passed,eb17bcc0989520a6f4b3ca6831247dc3ab561daa94c3c69923818ecd030c13e3,greenlaw110/rythm,Tests_passed
24725-30,24725,30,refs/heads/master,d19c0a83d2acf805c46091c3449b27927f6bb17c,cdbf5a163938557e5938e10a32fd6454f9033954,c9f440ae0699d474aed975096fa285db5d20683d,,4dcd76d4048b68adc986e57f40ebd7765457a707eb748a30fdb88cf41156da69,Tests_passed,40758d967ded7c5abdff63ec23b9709c7bd4d55349aad04ec4ab8d13e30bd921,Tests_passed,True,True,True,True,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Merge_failed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,okleine/ncoap,Tests_passed
26230-99,26230,99,refs/heads/master,006a659ec272072916f305b3140964daa1491cd8,3e2841858d6ba491337c7bacc16299223402b1e0,ee4a27cf0686e4d2dca8884403921c76b2d1cef6,,bed0e3cea4b4f17bcbd2d5d08ca8f770872badd36722d7ea582a35da00047546,Tests_passed,06c5c5f868fa4539a4362c9a4df30c5d3973901ed879ea7e95b67aab20a005b5,Tests_passed,True,True,True,True,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,a776e9a69db045df6cdb33cd4890a9cea135eb6fcc4af67844ee50150d11ba01,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,a776e9a69db045df6cdb33cd4890a9cea135eb6fcc4af67844ee50150d11ba01,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Merge_failed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,e90bfb307d2fe6f32d2b42cd17a332bbfc24093aa67e25fe266d56c91fb6cc57,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,a776e9a69db045df6cdb33cd4890a9cea135eb6fcc4af67844ee50150d11ba01,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,a776e9a69db045df6cdb33cd4890a9cea135eb6fcc4af67844ee50150d11ba01,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,a776e9a69db045df6cdb33cd4890a9cea135eb6fcc4af67844ee50150d11ba01,Tests_passed,c3d5472d0dac916d226739316c69929c334883e68a04fa9e7fbe78edb321c7d1,Tests_passed,a776e9a69db045df6cdb33cd4890a9cea135eb6fcc4af67844ee50150d11ba01,arcbees/gwtchosen,Tests_passed
26847-6,26847,6,refs/heads/master,b0056fd6f8d833d7f7dd54543504f344787b53b2,6639eadfdbdaa63fe81a02bdb3f78ec38123d758,bf85cfee8a96e9e85ab29ea2d1021ec97dbe5e58,two initial commits,b591f19e6b53b09c3202cffe91eebab9c80d020f7afac058e8384079d15f571f,Tests_passed,96efdb52c0f05045d148e13b2e2642ca1330633388aa85c73f3b213d10dcb7c1,Tests_passed,True,True,True,True,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Merge_failed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,34778236b65b5684a162a99128008e16a07b75be095791e3569932de5902ccf2,Tests_passed,34778236b65b5684a162a99128008e16a07b75be095791e3569932de5902ccf2,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,Tests_passed,650149c06b8b49f027387045517cbfa85c0d356f32c30a034c064eb2313a96b7,douglasrodrigo/bfmapper,Tests_passed
2104-4,2104,4,refs/heads/master,0ca7e4ea4fd000ca5a3b51bb5e2e2fc27f6217f2,57e7150a72573f547092a0054317ffab8219bc45,c32cb07eda7eae130ce52a9cada989e58a1fbfa3,,9648b81286e53d474cb0ca01597f0a94b155d0dd8b1bd322a8921c3ec40b15c2,Tests_passed,5137eaf1d40f9a64f41e55dfd63637b140570923d93196f215cb3b23151b0dea,Tests_passed,True,True,True,True,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Merge_failed,8b0ba4e09c1fd34c6832eaf52a028c2ca4eec9b3486235de3d536a94cf7b21ff,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Merge_failed,8b0ba4e09c1fd34c6832eaf52a028c2ca4eec9b3486235de3d536a94cf7b21ff,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Merge_failed,0ad53a1530f8a34063dbd30466d149f7910e477ea05235886981b3b336b9fda5,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Merge_failed,30edee8e81f9b0c03e7f51cbed04aa41ef8d692ce6cc6fe40aa9fe8042254ca2,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Tests_passed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Tests_passed,8b0ba4e09c1fd34c6832eaf52a028c2ca4eec9b3486235de3d536a94cf7b21ff,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Merge_failed,8b0ba4e09c1fd34c6832eaf52a028c2ca4eec9b3486235de3d536a94cf7b21ff,Tests_passed,65dd2145cdff7e0f3f1ff3e4b6376315df9aa6ed29e174b6ae2cb280e1212b9c,Tests_passed,8e5d6be32858388b46486f250ca41ba8efc0ef7f923814287c3a9a83bbb9a57a,Merge_failed,44fab8c3a10bf70f3ccfa6e82abed9f89cba67e6824e36f9ad31258cd92af87b,Merge_failed,8b0ba4e09c1fd34c6832eaf52a028c2ca4eec9b3486235de3d536a94cf7b21ff,acciente/oacc-core,Tests_passed
