idx,repository,head hash,head tree fingerprint,head test result
3,UniTime/cpsolver,bd49bcab6a960b144a76e1d8eed1112724e6ee69,6622d4d35980506f65a645e3c92048e4fb9a756839f354015194d6e96dea61d9,Tests_passed
4,buremba/netty-rest,18e72b8825ac9874da2de70246381a4f50491e64,10ddc2478b495ff8ac2e68249ffb74b4910d1899023f4b971fb42e9155c423c3,Tests_passed
12,basho-labs/riakcs-java-client,b395bbd5b67b4984880878bf1554cdc2057f5865,50c1aafc34cc2de32b0fd920abbed54184bd45b746f1db9e3c55fc336145c9ab,Tests_passed
22,voodoodyne/htmleasy,6623d38e1473245ea1513ed6f47d02c7c5ee87e2,719179727219762dad1d746320e0c8a5e5c8a8784a0b227061a7993e03b17d24,Tests_passed
26,psi-probe/psi-probe,78b2b49725f9320b3beee9c50238d48e915ececd,5e79b4b42555e79ab54cd13f4560f25a7ea47f8f2bf62c1cb42799f8864f8ee5,Tests_passed
33,rvs-fluid-it/wizard-in-a-box,e94b815aae2d936c2ae2d304cdce3606d9185fa9,5040b0ee25b9069027b882049f9afbc315f1ba95f38b6565d8306bff52da6af6,Tests_passed
37,lwhite1/TableSaw,02d3e524110982ec2b420ff8f9126707d483374f,2f279e8e45c3d7ff7a66e6c82f0d184338d358464d617f8ad3b1c64d75ee3567,Tests_passed
49,java-irclib/irclib,0fd54735d9a726b3ada0371f3be05035a34942a8,20c9710cb9ede2a42ef1d786e3f54b8cbcbf00e8486a5cba05ca1f52df40be56,Tests_passed
54,elastic/elasticsearch-hdfs,a56b46f84ee2cd4f315695fcf39b9deac8f59333,2053ba514684ce1366081ee1bafcce7cc4972baf5aad64d20b9f56f1e4fc96bd,Tests_passed
58,DanielGronau/highj,2e18c459904833ef4928558859193c8c9ea54927,a8abddd6b3bf02a83c5391739d1c8fd3660a64aaa86ab9fbf0d7a3b7b08ae2bc,Tests_passed
59,vzaliva/javadrone,439d23e9fb9a7e2d3a0b59a7ab7257309bf0fbef,4f39d624e4a740b3f187a7e1d609e82f0e0af88b838bdeafbf9077b4e4235666,Tests_passed
105,brunoribeiro/sql-parser,2de470739110654df71f512a21cb63c7d7ea1310,259c597d0e8f94277e2873a9f7ce54bf5a1438ca41b4b51df3ccd5f706fc45b5,Tests_passed
110,pandcorps/pandam,c966595eb6a6a39b75eb478f2fe65c866dd407c9,b213bcb45e1b38aba9fc4a01decdb3ce60d09adff2b19b6ec18af7c832fea49c,Tests_passed
114,jcodagnone/jiolsucker,54f7bde409b7f9fe35745eb574d53453d1846be8,f0533f24b9ef535594a091bfe50d3ce35dac7e8ffad29b88a8069915b1bd9610,Tests_passed
123,prasad-babu/word2html,e237aec66ca418dc75160465f5596dc36263553b,cc00ecbe8994a980c8c4730abf04634d0ba1a554bc70243265377a34beb3ccdb,Tests_passed
132,GlenKPeterson/J-sicle,56bc36034e0a6f2b576064f6e4990cf0f8297104,4ef9b355cfc1fcd91c72225341177f1df46cfaefb2a609be32ae97d9dc6a7de9,Tests_passed
134,rwitzel/streamflyer,4efd305941461cf53d52c8145811316811d07e27,91396638c60b34dd9817c8a718736e68c38696e65c2477506efc3960ee0801e5,Tests_passed
147,Complexible/pellet,4c7d16bd1811ec04117fa4cd96ed592c6cfa956b,22a0c884accde458147a6c19cdba24117be5ed6c980119498e1c9f78e1d93ae8,Tests_passed
149,CloudSlang/score,bfe13bd77750d14f65035e75df9d5919732c08c9,78824fb9c524e846dc3b0e1e54c193ec4777427c64f04d0ac7e9278bcbc37402,Tests_passed
